"complementaryfilter",,,"GPSx","GPSy","GPSz","mu",,,,,,
-2704135.4421,-4261183.3904,3887219.6661,-2704134.923,-4261182.7663,3887219.6764,-2704134.923,0,-4261182.7663,0,3887219.6764,0,
-2704135.5022,-4261183.7643,3887219.6999,-2704177.733,-4261200.9087,3887235.296,-2704135.5753,0.1186,-4261183.1314,0.18643,3887220.1415,-0.015908,
-2704135.4329,-4261183.3289,3887220.0066,-2704148.9283,-4261204.8359,3887239.9449,-2704135.9448,0.12145,-4261183.9275,0.21719,3887221.2212,-0.012895,
-2704135.5153,-4261181.5329,3887220.1319,-2704137.747,-4261203.6556,3887234.5264,-2704136.0073,0.10465,-4261184.9585,0.22309,3887222.2356,0.0055114,
-2704135.6538,-4261179.3818,3887220.24,-2704187.61,-4261200.0337,3887266.9182,-2704138.69,0.083223,-4261185.9513,0.23022,3887226.4572,0.039289,
-2704135.9512,-4261177.2627,3887220.3223,-2704221.0139,-4261269.11,3887311.9771,-2704143.8008,0.069135,-4261192.5173,0.23049,3887235.7915,0.071473,
-2704136.056,-4261175.3671,3887220.4359,-2704255.0564,-4261240.5569,3887307.4272,-2704151.6815,0.056471,-4261196.7838,0.23405,3887244.4342,0.048548,
-2704136.5108,-4261173.7415,3887220.5535,-2704302.6412,-4261299.0995,3887365.5272,-2704163.5047,0.041546,-4261206.7385,0.2267,3887260.1024,0.037043,
-2704136.8517,-4261172.2656,3887220.701,-2704287.4271,-4261275.126,3887385.648,-2704173.9913,0.026147,-4261213.842,0.22992,3887277.1749,0.012909,
-2704137.0042,-4261171.0005,3887220.9443,-2704365.9808,-4261349.5881,3887467.0391,-2704191.2484,0.00051065,-4261228.6842,0.23207,3887303.9236,0.048598,
-2704137.1829,-4261169.9467,3887221.036,-2704333.2629,-4261330.9122,3887469.3099,-2704204.6288,-0.0009368,-4261240.2856,0.24188,3887327.8227,0.063324,
-2704137.7451,-4261169.0056,3887221.162,-2704360.4428,-4261340.8618,3887430.9322,-2704219.8599,0.0046561,-4261252.029,0.25113,3887342.9964,0.067496,
-2704137.9145,-4261168.1089,3887221.2481,-2704356.9603,-4261318.935,3887443.2219,-2704233.6542,0.016415,-4261260.004,0.26563,3887357.9372,0.058034,
-2704138.0803,-4261167.2738,3887221.36,-2704233.4418,-4261173.62,3887409.1262,-2704233.6301,0.047915,-4261249.4839,0.2957,3887365.6401,0.036079,
-2704137.9562,-4261166.2184,3887221.5928,-2704216.4682,-4261130.4353,3887373.7987,-2704231.8268,0.0731,-4261234.8111,0.31974,3887366.8774,0.0026935,
-2704138.0964,-4261165.0361,3887221.5477,-2704206.0588,-4261163.3488,3887447.2075,-2704229.0814,0.089162,-4261225.9076,0.32279,3887379.0968,0.016509,
-2704138.6353,-4261163.6417,3887221.6005,-2704205.9221,-4261130.2559,3887439.5292,-2704226.5851,0.071835,-4261213.9141,0.30787,3887388.3216,0.020034,
-2704138.6172,-4261163.1008,3887221.46,-2704252.6179,-4261203.8365,3887366.6477,-2704229.4023,0.0054185,-4261212.6201,0.27571,3887385.0068,0.0010854,
-2704138.1443,-4261163.3547,3887221.5052,-2704252.5489,-4261236.6058,3887359.9821,-2704231.9299,-0.056959,-4261215.6258,0.25927,3887381.1713,-0.014088,
-2704137.7405,-4261162.9008,3887221.6201,-2704198.5517,-4261151.5195,3887394.2048,-2704228.2725,-0.090211,-4261207.4805,0.27369,3887383.1701,-0.013614,
-2704137.0072,-4261161.6818,3887221.7696,-2704169.0382,-4261154.3297,3887369.7357,-2704221.7514,-0.075578,-4261200.7058,0.28684,3887381.106,5.3143e-05,
-2704136.955,-4261160.7438,3887221.9365,-2704172.0244,-4261126.1576,3887352.5309,-2704216.2578,-0.038929,-4261191.1954,0.28673,3887376.7154,0.026796,
-2704136.7923,-4261160.3825,3887222.1193,-2704140.0997,-4261141.6067,3887349.3812,-2704207.8153,0.0040822,-4261184.8524,0.26102,3887372.5158,0.049463,
-2704136.4286,-4261160.0642,3887222.2453,-2704168.8471,-4261121.151,3887347.9328,-2704203.4841,0.034503,-4261176.7049,0.23706,3887368.7386,0.029524,
-2704136.4804,-4261158.6762,3887222.3406,-2704090.0473,-4261062.7349,3887305.0345,-2704190.8551,0.033939,-4261162.1357,0.23363,3887358.9396,-0.027306,
-2704136.1911,-4261157.0414,3887222.2404,-2704174.573,-4261179.4902,3887360.4172,-2704189.0383,-0.00091028,-4261164.3318,0.24399,3887359.1641,-0.046887,
-2704135.8307,-4261154.9475,3887222.3597,-2704169.7587,-4261188.343,3887364.2131,-2704186.8878,-0.013919,-4261167.3786,0.26516,3887359.938,-0.01389,
-2704135.6738,-4261152.7351,3887222.2825,-2704203.2617,-4261175.3802,3887341.5547,-2704188.7171,-0.0094016,-4261168.3782,0.27188,3887357.1094,0.042621,
-2704135.7747,-4261150.9692,3887222.3242,-2704130.1888,-4261093.1119,3887299.4657,-2704182.179,-0.01598,-4261158.7307,0.24776,3887348.2426,0.076588,
-2704135.987,-4261149.5801,3887222.0308,-2704217.9509,-4261099.8945,3887298.2353,-2704186.1801,-0.057672,-4261151.1848,0.21212,3887340.5521,0.059255,
-2704136.1918,-4261148.2276,3887222.2514,-2704187.7886,-4261101.6823,3887272.8275,-2704186.3654,-0.074752,-4261144.8345,0.19008,3887330.1321,0.0081954,
-2704136.4181,-4261147.1471,3887222.0396,-2704235.569,-4261176.9719,3887384.1126,-2704191.876,-0.071366,-4261148.929,0.20686,3887338.4414,0.015845,
-2704136.6307,-4261146.0519,3887222.2476,-2704154.2274,-4261081.6753,3887400.2867,-2704187.6695,-0.054336,-4261140.3058,0.24685,3887347.9625,0.040369,
-2704137.7961,-4261145.7468,3887222.4049,-2704245.0868,-4261142.6532,3887407.7356,-2704194.0998,-0.050006,-4261140.5844,0.26153,3887357.167,0.068486,
-2704138.0363,-4261147.5581,3887222.5969,-2704206.1549,-4261114.1842,3887401.0109,-2704195.4528,-0.020157,-4261137.1836,0.25457,3887363.9211,0.063482,
-2704138.1783,-4261150.0528,3887222.6965,-2704218.1774,-4261133.1285,3887418.4102,-2704197.9978,0.0073155,-4261136.6427,0.24012,3887372.3122,0.016036,
-2704138.2676,-4261152.1131,3887222.7819,-2704254.2062,-4261140.5842,3887368.0323,-2704204.2896,0.017332,-4261137.1259,0.25785,3887371.6533,-0.033252,
-2704138.4472,-4261153.9956,3887222.8489,-2704203.1629,-4261093.0311,3887301.6428,-2704204.1617,0.026105,-4261131.46,0.29415,3887360.8734,-0.06497,
