"complementaryfilter",,,"GPSx","GPSy","GPSz","mu",,,,,,
-2704138.8757,-4261155.6607,3887222.9647,-2704168.7773,-4261071.7254,3887273.4058,-2704200.1977,0.016486,-4261123.7897,0.31525,3887347.4057,-0.028132,
-2704139.2427,-4261156.8162,3887223.0439,-2704211.7283,-4261090.0895,3887303.2758,-2704201.4884,-0.030505,-4261119.4499,0.2914,3887340.6118,0.0087064,
-2704139.4638,-4261157.9556,3887223.1986,-2704181.8563,-4261059.4577,3887298.8993,-2704199.2941,-0.086942,-4261111.7478,0.24886,3887334.1925,0.026062,
-2704140.2607,-4261158.2825,3887223.1922,-2704192.8497,-4261060.342,3887346.1835,-2704198.581,-0.12389,-4261105.1479,0.222,3887336.0406,0.033235,
-2704140.9641,-4261157.631,3887223.0523,-2704191.4124,-4261074.5155,3887312.729,-2704197.789,-0.11072,-4261101.2083,0.22208,3887332.4545,0.0089546,
-2704141.7781,-4261156.3695,3887223.118,-2704214.8119,-4261094.9484,3887293.6927,-2704199.7042,-0.069964,-4261100.3875,0.24476,3887326.4887,0.0023693,
-2704142.4514,-4261154.8654,3887223.1006,-2704193.2099,-4261093.7864,3887312.0475,-2704198.9813,0.009293,-4261099.5212,0.2546,3887324.2659,-0.0032013,
-2704143.1997,-4261152.8494,3887223.103,-2704197.2833,-4261133.0821,3887381.606,-2704198.7885,0.088555,-4261103.794,0.25376,3887333.0923,0.018759,
-2704143.4683,-4261150.6166,3887223.2343,-2704151.8909,-4261143.7482,3887355.6827,-2704193.5284,0.09966,-4261108.8852,0.24838,3887336.5702,-0.0091932,
-2704143.9938,-4261148.6327,3887223.4124,-2704125.8403,-4261119.1371,3887356.8361,-2704185.9401,0.062971,-4261110.1753,0.26279,3887339.6886,-0.017059,
-2704144.2503,-4261146.8853,3887223.6279,-2704183.7706,-4261193.9835,3887331.5905,-2704185.6926,0.015402,-4261120.8777,0.28071,3887338.4411,-0.0015108,
-2704144.3744,-4261146.4511,3887223.3435,-2704201.5866,-4261238.4969,3887354.0915,-2704187.4716,-0.0015883,-4261135.9059,0.27866,3887340.8508,0.027575,
-2704144.4282,-4261146.5047,3887223.3598,-2704085.3484,-4261104.6466,3887302.4324,-2704176.0349,-0.00078304,-4261131.8813,0.26703,3887334.9389,0.0030251,
-2704143.8999,-4261147.5477,3887223.6004,-2704100.2941,-4261111.7592,3887271.1623,-2704167.5532,-0.022021,-4261129.2832,0.24032,3887325.1204,-0.0697,
-2704143.6014,-4261149.0533,3887223.3849,-2704080.6575,-4261097.2546,3887281.5977,-2704157.8233,-0.0091275,-4261125.1633,0.23851,3887318.4148,-0.085695,
-2704143.2239,-4261151.0752,3887223.3292,-2704054.9397,-4261056.7284,3887258.4232,-2704146.3019,-0.00025804,-4261116.3841,0.25406,3887309.1745,-0.048022,
-2704143.1339,-4261153.2878,3887223.4231,-2704170.5517,-4261173.1536,3887298.4143,-2704149.0181,-0.017009,-4261123.6271,0.25853,3887307.5168,0.044523,
-2704142.7632,-4261155.4522,3887223.4066,-2704126.1282,-4261086.7133,3887293.5891,-2704146.4558,-0.0025925,-4261118.8804,0.26169,3887305.3772,0.060025,
-2704142.5405,-4261157.4423,3887223.4161,-2704140.1781,-4261141.7303,3887321.4031,-2704145.7532,-0.01171,-4261121.7819,0.26059,3887307.8485,0.040503,
-2704141.8736,-4261159.5886,3887223.4802,-2704030.5746,-4261034.7723,3887262.0147,-2704132.8556,-0.028695,-4261110.6235,0.27832,3887300.7955,-0.011596,
-2704141.3275,-4261162.1084,3887223.6651,-2704012.7098,-4261055.9366,3887254.4038,-2704119.4034,-0.053039,-4261103.6002,0.30093,3887293.6543,0.0068708,
-2704140.4736,-4261163.9252,3887223.8044,-2704139.8904,-4261124.8381,3887408.5446,-2704121.7028,-0.065802,-4261106.292,0.29765,3887311.3411,0.073621,
-2704140.1307,-4261163.5248,3887224.1794,-2704062.6615,-4261085.3352,3887364.6361,-2704115.0961,-0.048321,-4261103.5843,0.28352,3887319.5504,0.060616,
-2704140.0071,-4261161.1419,3887224.4203,-2704054.8107,-4261089.4026,3887349.9914,-2704108.3489,-0.047125,-4261101.7449,0.26181,3887324.2391,-0.0076861,
-2704139.9429,-4261158.6624,3887224.7144,-2704152.1379,-4261127.6987,3887303.1396,-2704113.2568,-0.037812,-4261105.0436,0.26069,3887320.9893,-0.059624,
-2704139.8954,-4261156.3977,3887224.7751,-2704131.5467,-4261177.4459,3887397.385,-2704115.3074,0.0081066,-4261114.2866,0.27472,3887332.7448,-0.0083314,
-2704139.9313,-4261154.0123,3887224.9105,-2704167.8584,-4261119.593,3887388.6395,-2704121.191,0.051928,-4261114.9415,0.28662,3887341.3495,0.056342,
-2704139.8931,-4261151.5811,3887224.9534,-2704196.7436,-4261197.987,3887325.5561,-2704129.647,0.078664,-4261125.5448,0.26957,3887338.9233,0.056557,
-2704139.8177,-4261149.0277,3887225.3753,-2704140.5531,-4261224.5168,3887403.8548,-2704130.8614,0.07994,-4261138.1879,0.24811,3887348.9217,0.024953,
-2704139.7926,-4261146.3781,3887225.5819,-2704129.9622,-4261207.8275,3887430.6651,-2704130.7543,0.051312,-4261147.0787,0.24307,3887361.5052,-0.0041244,
-2704139.7583,-4261143.5773,3887225.8575,-2704125.1066,-4261265.9336,3887368.3703,-2704130.1179,0.022831,-4261162.2682,0.24852,3887362.562,0.012253,
-2704139.7314,-4261141.1378,3887225.9061,-2704179.777,-4261138.3739,3887363.7507,-2704135.6781,-0.01282,-4261159.1885,0.25139,3887362.748,0.080337,
-2704139.7265,-4261139.1401,3887225.7518,-2704153.7551,-4261113.8083,3887308.7628,-2704137.7047,-0.054296,-4261153.3592,0.23529,3887354.4455,0.090254,
-2704139.8094,-4261137.1315,3887225.8825,-2704169.892,-4261139.2363,3887346.1623,-2704141.3152,-0.09706,-4261151.5316,0.21712,3887353.1765,0.033927,
-2704139.8586,-4261135.0728,3887225.8853,-2704200.1791,-4261170.5227,3887365.1853,-2704147.9162,-0.10226,-4261153.943,0.22044,3887355.0261,-0.025367,
-2704139.841,-4261132.854,3887225.9688,-2704168.9758,-4261121.3539,3887305.9817,-2704150.2832,-0.076874,-4261149.7529,0.23531,3887347.4742,-0.048633,
-2704139.866,-4261130.4362,3887226.5002,-2704141.8249,-4261127.8865,3887327.069,-2704149.3429,-0.082984,-4261146.9339,0.23601,3887344.331,0.014835,
-2704139.7576,-4261127.9189,3887226.6589,-2704145.7467,-4261134.0663,3887360.8364,-2704148.9479,-0.097725,-4261145.2668,0.22218,3887346.8742,0.062574,
,,,-2704119.6236,-4261142.2186,3887341.274,-2704145.6716,-0.058659,-4261144.8574,0.2182,3887346.0167,0.035326,
