"complementaryfilter",,,"GPSx","GPSy","GPSz","mu",,,,,,
-2703931.9785,-4261085.5161,3887349.8039,-2703932.3671,-4261077.2784,3887347.3602,-2703932.3671,0,-4261077.2784,0,3887347.3602,0,
-2703933.8548,-4261092.4576,3887349.9771,-2703929.0868,-4261137.8659,3887371.6229,-2703932.3171,-0.00016384,-4261078.5011,0.22867,3887348.083,0.023197,
-2703932.081,-4261091.6773,3887351.5004,-2703949.2843,-4261136.8163,3887351.236,-2703932.8021,-0.038047,-4261080.667,0.2646,3887348.2572,0.018426,
-2703930.408,-4261091.3048,3887353.1149,-2703917.5336,-4261070.3415,3887364.7462,-2703932.1815,-0.055534,-4261080.0914,0.26975,3887349.5165,0.007909,
-2703932.1354,-4261085.4551,3887353.9147,-2703919.4294,-4261073.329,3887367.4901,-2703931.5214,-0.053418,-4261079.6115,0.26897,3887351.2145,-0.0005213,
-2703928.9099,-4261086.7051,3887356.1165,-2703949.6881,-4261022.3795,3887360.7477,-2703932.6558,-0.048942,-4261075.0532,0.27366,3887352.2541,-0.01151,
-2703927.8173,-4261088.4504,3887355.2433,-2703903.0109,-4261096.7727,3887376.0188,-2703930.5587,-0.042249,-4261076.9668,0.26961,3887355.1187,-0.0037247,
-2703928.9401,-4261091.6697,3887357.7541,-2703919.9132,-4261106.9698,3887347.5812,-2703929.7284,-0.036753,-4261079.8678,0.26584,3887354.1433,-0.0030875,
-2703933.1483,-4261097.1251,3887358.6526,-2703940.5157,-4261122.998,3887380.6822,-2703930.6445,-0.020298,-4261084.3369,0.26039,3887357.7523,0.025024,
-2703930.9466,-4261103.3394,3887360.5553,-2703967.4298,-4261148.9723,3887366.7347,-2703933.9524,0.010931,-4261091.3907,0.25196,3887359.0201,0.034924,
-2703933.2215,-4261110.6154,3887362.3956,-2703910.9556,-4261158.611,3887377.673,-2703931.7838,0.048369,-4261099.0107,0.24535,3887361.718,0.03309,
-2703937.7031,-4261114.5302,3887363.5209,-2703953.6153,-4261176.5205,3887379.0327,-2703933.9133,0.055016,-4261108.0559,0.23776,3887364.2676,0.023419,
-2703939.2032,-4261118.7575,3887366.5711,-2703979.3805,-4261151.3659,3887373.2674,-2703938.4837,0.037971,-4261113.2118,0.239,3887365.6105,0.015141,
-2703942.0134,-4261119.2239,3887366.2651,-2703951.0534,-4261156.0436,3887392.6522,-2703939.7742,0.032314,-4261118.3951,0.24238,3887369.6791,0.024621,
-2703945.0004,-4261118.4158,3887365.7942,-2703968.6446,-4261118.0081,3887361.0107,-2703942.7964,0.043783,-4261118.3261,0.24843,3887368.3683,0.0072435,
-2703952.7304,-4261117.4938,3887367.1028,-2703974.4429,-4261110.7064,3887358.639,-2703946.1556,0.053917,-4261117.358,0.24767,3887366.8887,-0.0062846,
-2703959.0158,-4261124.7323,3887370.1702,-2704025.5484,-4261109.0459,3887378.7862,-2703954.6827,0.044999,-4261116.2967,0.23585,3887368.7039,-0.0064617,
-2703960.8036,-4261131.2268,3887368.436,-2704014.0808,-4261189.6099,3887398.6803,-2703961.1182,0.028187,-4261125.4978,0.21481,3887373.2903,0.019825,
-2703962.8656,-4261129.1348,3887369.1124,-2703979.3145,-4261184.1407,3887352.5624,-2703963.1021,0.016798,-4261132.886,0.20201,3887370.1155,0.02753,
-2703964.5214,-4261127.5722,3887368.0271,-2703983.6909,-4261108.8408,3887375.3058,-2703965.3604,0.0077585,-4261129.8218,0.20064,3887370.915,0.052052,
-2703969.7694,-4261131.4863,3887370.5705,-2703983.7012,-4261125.2962,3887357.9929,-2703967.3816,-0.0057942,-4261129.2296,0.19685,3887368.9349,0.057681,
-2703970.8806,-4261128.2476,3887368.8368,-2704018.4636,-4261180.0773,3887394.2598,-2703973.0318,-0.023661,-4261135.6823,0.1889,3887372.8322,0.075518,
-2703976.5191,-4261127.5718,3887369.3849,-2703982.6186,-4261107.1511,3887359.7081,-2703974.0973,-0.039341,-4261132.0306,0.18717,3887370.8205,0.063963,
-2703982.5819,-4261126.8459,3887373.4236,-2704027.6449,-4261128.7887,3887378.5384,-2703980.0513,-0.051945,-4261131.6008,0.1834,3887372.0125,0.051186,
-2703986.5083,-4261132.1758,3887374.5451,-2704037.2261,-4261127.4481,3887409.7335,-2703986.4197,-0.051569,-4261131.0547,0.18511,3887377.8192,0.037677,
-2703988.611,-4261135.3273,3887374.4123,-2704021.8456,-4261185.4069,3887385.1087,-2703990.3722,-0.039642,-4261137.9809,0.18878,3887378.9432,0.012901,
-2703993.7084,-4261136.8047,3887377.4534,-2704007.508,-4261162.8126,3887378.4034,-2703992.2871,-0.023984,-4261141.1375,0.19744,3887378.8612,0.0098438,
-2703994.4391,-4261135.6315,3887381.1305,-2704038.9682,-4261146.6325,3887408.9727,-2703997.5012,-0.018867,-4261141.8226,0.20573,3887383.4965,0.03101,
-2703996.4692,-4261139.8035,3887378.6293,-2704000.8865,-4261119.4996,3887417.5216,-2703997.881,-0.013297,-4261138.9501,0.21296,3887388.7362,0.053281,
-2703999.8327,-4261139.7841,3887375.9941,-2704013.0754,-4261171.5862,3887358.3695,-2703999.5807,-0.016797,-4261143.1056,0.20761,3887384.0671,0.052005,
-2704003.1044,-4261138.7519,3887373.0019,-2704029.3135,-4261131.4181,3887352.8616,-2704002.9076,-0.040027,-4261141.5926,0.20309,3887379.2687,0.056736,
-2704004.8249,-4261132.197,3887375.1521,-2704032.5635,-4261120.1006,3887346.8017,-2704006.2295,-0.084127,-4261138.8255,0.19745,3887374.2761,0.048431,
-2704007.0605,-4261127.9408,3887377.9113,-2704022.7253,-4261071.7193,3887395.3104,-2704008.0837,-0.1287,-4261130.2225,0.20496,3887377.5175,0.038335,
-2704008.9174,-4261126.4047,3887377.5138,-2704029.5564,-4261098.9228,3887401.915,-2704010.4987,-0.14964,-4261126.1995,0.22349,3887381.2751,0.007341,
-2704009.2906,-4261128.8472,3887373.27,-2704028.9325,-4261114.3786,3887369.6381,-2704012.5745,-0.11986,-4261124.6671,0.24588,3887379.4837,-0.021848,
-2704008.6444,-4261132.7838,3887365.3916,-2704019.3309,-4261148.5653,3887331.8496,-2704013.3406,-0.081465,-4261127.7034,0.26343,3887372.1495,-0.03571,
