"complementaryfilter",,,"GPSx","GPSy","GPSz","mu",,,,,,
-2703975.6357,-4261129.8806,3887172.8225,-2703974.7092,-4261127.5652,3887173.1504,-2703974.7092,0,-4261127.5652,0,3887173.1504,0,
-2703975.9705,-4261131.5681,3887171.9898,-2703996.1763,-4261161.3946,3887162.0829,-2703975.0373,-0.043844,-4261128.2474,0.19491,3887172.8209,0.0067785,
-2703976.4297,-4261132.8946,3887172.2403,-2703982.6518,-4261123.6425,3887145.7915,-2703975.2586,-0.03591,-4261128.0552,0.22973,3887171.3452,-0.019313,
-2703976.0481,-4261134.8194,3887172.4884,-2703992.2441,-4261105.8805,3887180.2833,-2703975.9569,-0.02838,-4261126.8512,0.23613,3887172.0256,-0.0094214,
-2703976.4733,-4261135.5453,3887174.7295,-2703963.5527,-4261126.4232,3887181.8127,-2703975.3123,-0.023223,-4261126.8004,0.2362,3887172.9496,0.0065861,
-2703976.7566,-4261136.5433,3887174.4295,-2703993.5449,-4261091.4913,3887241.6294,-2703976.4484,-0.03516,-4261123.9817,0.23928,3887180.4439,0.044097,
-2703975.9836,-4261137.3942,3887174.4089,-2703990.0125,-4261102.3638,3887163.0083,-2703977.4136,-0.05088,-4261122.0305,0.23851,3887178.3446,0.012109,
-2703974.8275,-4261138.5894,3887173.9948,-2703954.5409,-4261095.7824,3887172.052,-2703975.6262,-0.054393,-4261119.4499,0.23685,3887177.531,-0.010276,
-2703973.797,-4261138.5271,3887173.5657,-2703939.4388,-4261104.8616,3887157.6766,-2703972.5675,-0.037517,-4261117.909,0.23373,3887174.8298,-0.037043,
-2703972.0117,-4261140.2268,3887172.7149,-2703944.3871,-4261063.3424,3887160.6385,-2703970.0372,-0.016586,-4261111.9138,0.23389,3887172.8275,-0.035312,
-2703971.606,-4261143.2411,3887172.5256,-2703919.7973,-4261123.2265,3887147.4952,-2703965.3047,0.0035324,-4261113.1792,0.22892,3887169.1651,-0.016267,
-2703971.5357,-4261145.7655,3887172.187,-2703958.5837,-4261167.9107,3887164.7759,-2703964.6474,0.00078994,-4261119.5613,0.22416,3887168.5193,0.027128,
-2703972.423,-4261149.0691,3887172.9985,-2703963.074,-4261158.5474,3887160.511,-2703964.4896,-0.023965,-4261124.2016,0.22315,3887167.3291,0.055834,
-2703971.9384,-4261151.4545,3887174.042,-2703974.091,-4261208.7883,3887197.9828,-2703965.4804,-0.038124,-4261134.4599,0.21891,3887171.9444,0.067444,
-2703970.3282,-4261154.3482,3887174.6902,-2703953.3134,-4261176.0447,3887210.0479,-2703964.2089,-0.041901,-4261139.5568,0.2202,3887177.7182,0.052806,
-2703970.9248,-4261158.9983,3887176.3083,-2703925.426,-4261214.2948,3887195.4149,-2703960.0912,-0.0521,-4261148.8199,0.2184,3887180.4136,0.02099,
-2703971.7931,-4261163.6904,3887177.4792,-2703977.9858,-4261280.6856,3887218.584,-2703962.0186,-0.043621,-4261165.2966,0.21483,3887186.2413,0.030245,
-2703971.238,-4261170.6725,3887179.3358,-2703987.8776,-4261279.8343,3887208.0907,-2703964.8255,-0.032853,-4261179.6843,0.21566,3887189.5873,0.055035,
-2703970.5224,-4261176.0986,3887180.4407,-2703980.3545,-4261333.7391,3887240.2586,-2703966.5237,-0.038793,-4261199.1231,0.2132,3887197.3587,0.091491,
-2703969.3075,-4261179.8929,3887181.2021,-2703958.4717,-4261282.8128,3887211.8694,-2703965.6429,-0.015664,-4261209.7081,0.21727,3887199.5924,0.069673,
