"complementaryfilter",,,"GPSx","GPSy","GPSz","mu",,,,,,"IMUonly",,,
-2699416.5427,-4293265.8799,3855070.5974,-2699417.5445,-4293263.0484,3855076.5654,-2699421.0213,0.033736,-4293266.7658,0.045171,3855068.9448,1.0637,-2699450.8554,-4293263.8239,3855071.6728,
-2699413.7061,-4293264.6599,3855070.5563,-2699417.8372,-4293263.5139,3855076.9862,-2699420.6621,0.043394,-4293266.3459,0.046723,3855070.2712,1.0198,-2699451.2592,-4293263.98,3855071.6694,
-2699412.7524,-4293265.388,3855072.1531,-2699405.6503,-4293260.7601,3855070.2378,-2699418.9782,0.076817,-4293265.6273,0.041614,3855070.3502,0.94641,-2699452.0035,-4293264.1142,3855071.9289,
-2699414.8902,-4293266.1607,3855074.6209,-2699410.4371,-4293268.3733,3855077.1201,-2699418.0151,0.10474,-4293265.9751,0.036034,3855071.472,0.93566,-2699452.9881,-4293264.2314,3855072.1593,
-2699412.1034,-4293263.9583,3855076.2774,-2699421.3206,-4293269.054,3855081.9945,-2699418.3756,0.1074,-4293266.366,0.031089,3855073.1724,0.99313,-2699453.9478,-4293264.3327,3855072.128,
-2699413.8597,-4293264.1558,3855076.7664,-2699403.6042,-4293257.506,3855081.2718,-2699416.7134,0.081989,-4293265.2296,0.030065,3855074.5052,1.065,-2699454.5982,-4293264.4302,3855071.8432,
-2699411.8253,-4293263.3171,3855075.1068,-2699418.7953,-4293265.0377,3855078.3637,-2699416.9399,0.046387,-4293265.2024,0.029937,3855075.1892,1.0665,-2699454.9259,-4293264.53,3855071.6295,
-2699411.0468,-4293263.8503,3855078.4202,-2699405.6856,-4293260.8163,3855070.2886,-2699415.6762,0.032371,-4293264.6384,0.035152,3855074.5233,1.0019,-2699455.1679,-4293264.6495,3855071.6919,
-2699410.9516,-4293261.0062,3855078.9376,-2699408.4359,-4293265.1906,3855088.2186,-2699414.8624,0.045288,-4293264.7059,0.045702,3855076.7143,0.93845,-2699455.5921,-4293264.8089,3855071.9831,
-2699408.8945,-4293259.8232,3855079.2481,-2699410.6547,-4293252.0906,3855080.6353,-2699414.3866,0.07274,-4293263.0873,0.059668,3855077.3972,0.93839,-2699456.2968,-4293265.0139,3855072.1887,
