"complementaryfilter",,,"GPSx","GPSy","GPSz","mu",,,,,,"IMUonly",,,
-2699440.7816,-4293187.5542,3855134.3548,-2699440.6401,-4293183.3804,3855132.1892,-2699433.6658,-0.046393,-4293192.7199,0.055671,3855135.7571,1.0114,-2699461.5959,-4293270.8943,3855072.0441,
-2699441.7412,-4293187.3197,3855134.5355,-2699438.7417,-4293180.3612,3855129.4597,-2699434.2385,-0.05189,-4293191.1333,0.060036,3855134.8733,1.0088,-2699461.6829,-4293270.7371,3855071.9451,
-2699443.1433,-4293183.857,3855136.2522,-2699442.6875,-4293186.6365,3855135.1328,-2699435.1892,-0.044858,-4293190.5526,0.060571,3855134.9976,0.97315,-2699461.7521,-4293270.5789,3855072.3219,
-2699443.3447,-4293184.2388,3855135.7485,-2699444.814,-4293173.3902,3855141.3928,-2699436.2708,-0.03369,-4293188.3509,0.058278,3855136.0638,0.95485,-2699461.8795,-4293270.1916,3855072.0031,
-2699445.9745,-4293184.4511,3855136.2293,-2699442.0776,-4293185.6666,3855134.2559,-2699436.9243,-0.040853,-4293188.0024,0.053696,3855135.8671,0.98525,-2699462.0607,-4293269.8317,3855071.9844,
-2699446.9346,-4293183.3223,3855135.3815,-2699452.1377,-4293185.0378,3855137.9467,-2699438.6325,-0.075985,-4293187.6184,0.049959,3855136.2722,1.0416,-2699462.4208,-4293269.4963,3855072.3429,
-2699447.8378,-4293183.0277,3855135.1717,-2699448.6205,-4293179.4439,3855132.8898,-2699439.7587,-0.1126,-4293186.5679,0.047841,3855135.84,1.052,-2699462.9426,-4293269.1758,3855072.6794,
-2699448.3011,-4293182.7064,3855134.8736,-2699449.8088,-4293181.3339,3855134.5983,-2699440.8943,-0.11823,-4293185.8939,0.045139,3855135.7364,0.99967,-2699463.4527,-4293268.8731,3855072.5706,
-2699452.1433,-4293183.5636,3855137.0423,-2699449.5836,-4293180.9756,3855134.2745,-2699441.8774,-0.094092,-4293185.2605,0.047087,3855135.594,0.93146,-2699463.8253,-4293268.5509,3855072.027,
-2699454.6726,-4293183.6164,3855138.0047,-2699463.4485,-4293186.398,3855143.4356,-2699444.3009,-0.06901,-4293185.4019,0.050997,3855136.8796,0.92444,-2699464.0828,-4293268.1964,3855071.5495,
-2699454.986,-4293181.0924,3855136.3381,-2699461.7296,-4293183.6643,3855140.9643,-2699446.2589,-0.069167,-4293185.175,0.055903,3855137.588,0.97596,-2699464.3721,-4293267.8084,3855071.5069,
-2699456.4474,-4293181.1076,3855136.6218,-2699455.1144,-4293173.1436,3855131.4534,-2699447.2571,-0.082818,-4293183.6303,0.060587,3855136.7278,1.0263,-2699464.7398,-4293267.3936,3855071.7819,
-2699458.0399,-4293181.7264,3855133.9914,-2699459.3866,-4293179.938,3855137.5956,-2699448.6231,-0.090628,-4293183.1524,0.064948,3855136.9482,1.0255,-2699465.1328,-4293266.9454,3855071.929,
-2699458.792,-4293181.5373,3855131.4284,-2699461.0989,-4293182.6613,3855126.0818,-2699450.0279,-0.07242,-4293183.0839,0.067587,3855135.361,0.97889,-2699464.7852,-4293267.5143,3855071.9822,
-2699460.3541,-4293182.6268,3855130.7575,-2699459.6078,-4293180.2898,3855123.9379,-2699451.1065,-0.042372,-4293182.7204,0.070153,3855133.6846,0.94497,-2699464.6106,-4293268.1031,3855072.0817,
-2699461.7861,-4293184.098,3855130.873,-2699462.9787,-4293185.6508,3855128.7844,-2699452.4395,-0.027484,-4293183.0892,0.074366,3855133.0113,0.97951,-2699464.4941,-4293268.7332,3855072.0917,
-2699461.2841,-4293182.9429,3855128.9018,-2699464.8092,-4293188.5621,3855131.4162,-2699453.8274,-0.036209,-4293183.7831,0.079191,3855132.8506,1.0507,-2699464.2987,-4293269.4061,3855071.9699,
-2699461.5674,-4293183.3251,3855128.5547,-2699459.0649,-4293179.4264,3855123.1573,-2699454.4177,-0.057824,-4293183.2185,0.083517,3855131.4487,1.0935,-2699463.9674,-4293270.1086,3855071.7912,
-2699461.9944,-4293183.6221,3855128.3563,-2699462.1418,-4293184.3199,3855127.5811,-2699455.288,-0.063516,-4293183.3522,0.084243,3855130.9446,1.0452,-2699463.63,-4293270.8145,3855071.7443,
-2699463.8705,-4293186.3191,3855130.4108,-2699462.2845,-4293184.5468,3855127.7863,-2699456.077,-0.055895,-4293183.4977,0.085357,3855130.5444,0.95912,-2699463.3511,-4293271.5304,3855071.8559,
-2699465.1776,-4293188.3587,3855128.6406,-2699468.6025,-4293194.5949,3855136.8699,-2699457.4844,-0.041392,-4293184.9105,0.084427,3855131.598,0.91622,-2699463.1614,-4293272.2411,3855072.017,
-2699465.8335,-4293189.2559,3855126.6456,-2699468.6652,-4293194.6946,3855122.9843,-2699458.7402,-0.041793,-4293186.1553,0.084331,3855130.3506,0.95128,-2699462.9478,-4293272.9516,3855072.0692,
-2699466.0659,-4293189.7721,3855124.9701,-2699467.0239,-4293192.0842,3855120.6245,-2699459.6719,-0.053481,-4293186.9067,0.083819,3855128.9358,1.0122,-2699462.655,-4293273.6549,3855072.0094,
-2699467.6331,-4293188.649,3855123.3727,-2699466.5252,-4293191.2912,3855119.9076,-2699460.4444,-0.063973,-4293187.4605,0.083613,3855127.6321,1.0232,-2699462.3759,-4293274.2188,3855072.1956,
-2699471.7739,-4293192.2629,3855122.6301,-2699473.2074,-4293185.2903,3855118.7418,-2699461.8793,-0.057162,-4293187.1755,0.080283,3855126.349,0.98113,-2699462.148,-4293274.7532,3855072.0109,
-2699474.1794,-4293193.6787,3855120.9224,-2699484.3731,-4293203.0479,3855120.8192,-2699464.403,-0.034104,-4293189.2,0.07242,3855125.5797,0.94053,-2699462.0407,-4293275.2374,3855071.5747,
-2699473.3296,-4293194.6526,3855121.8477,-2699480.983,-4293197.6564,3855115.9452,-2699466.2624,-0.01624,-4293190.276,0.066713,3855124.177,0.96448,-2699462.0001,-4293275.6825,3855071.4335,
-2699472.5203,-4293190.9923,3855119.6417,-2699469.9791,-4293196.7843,3855124.8734,-2699466.6801,-0.017784,-4293191.1032,0.062064,3855124.3679,1.0381,-2699461.9249,-4293276.0969,3855071.8228,
-2699474.3903,-4293192.1254,3855117.9463,-2699469.2601,-4293179.0125,3855113.0666,-2699466.9712,-0.040397,-4293189.5505,0.058753,3855122.7174,1.0817,-2699461.7297,-4293276.4818,3855072.4403,
-2699474.115,-4293190.0647,3855117.6594,-2699478.8542,-4293194.2707,3855112.8845,-2699468.306,-0.057987,-4293190.1495,0.055564,3855121.2943,1.042,-2699461.4702,-4293276.8535,3855072.6331,
-2699475.1364,-4293190.2033,3855115.563,-2699471.9051,-4293183.2191,3855116.8695,-2699468.7142,-0.05862,-4293189.2576,0.061512,3855120.699,0.95967,-2699461.2234,-4293277.2715,3855072.2203,
-2699475.9248,-4293190.4177,3855113.9666,-2699476.3582,-4293190.3011,3855109.296,-2699469.5751,-0.04098,-4293189.3856,0.069527,3855119.0236,0.90871,-2699461.0738,-4293277.7497,3855071.5821,
-2699476.5872,-4293190.6224,3855112.8056,-2699476.3322,-4293190.2598,3855109.2586,-2699470.3354,-0.036832,-4293189.4913,0.079486,3855117.5984,0.94259,-2699460.926,-4293278.2974,3855071.3295,
-2699476.5406,-4293189.9499,3855111.2091,-2699476.3866,-4293190.3463,3855109.3369,-2699471.0168,-0.056014,-4293189.5936,0.089447,3855116.4085,1.0121,-2699460.6702,-4293278.912,3855071.573,
-2699476.9861,-4293190.4275,3855110.8753,-2699474.3639,-4293187.1295,3855106.4288,-2699471.3972,-0.083929,-4293189.2703,0.098202,3855114.9587,1.0387,-2699460.2853,-4293279.5824,3855071.8898,
-2699475.5191,-4293192.3602,3855110.9769,-2699476.8374,-4293191.0633,3855109.985,-2699472.014,-0.085646,-4293189.4912,0.098099,3855114.2799,0.99877,-2699459.9239,-4293280.2426,3855071.8076,
-2699474.4178,-4293193.8455,3855111.1246,-2699470.3279,-4293197.339,3855111.3991,-2699471.832,-0.053032,-4293190.4871,0.090589,3855113.9194,0.9442,-2699459.736,-4293280.8456,3855071.3574,
-2699476.7016,-4293195.866,3855109.6075,-2699470.5315,-4293197.6628,3855111.6918,-2699471.6903,-0.020717,-4293191.3977,0.082408,3855113.6567,0.95331,-2699459.6845,-4293281.3925,3855071.0988,
-2699477.4991,-4293196.1391,3855107.233,-2699483.2096,-4293201.1975,3855105.1707,-2699472.9822,-0.01894,-4293192.6448,0.075651,3855112.4331,1.022,-2699459.6119,-4293281.897,3855071.401,
-2699481.4985,-4293201.6926,3855107.0374,-2699479.8809,-4293195.9036,3855100.3849,-2699473.7571,-0.044862,-4293193.0553,0.070245,3855110.6668,1.0818,-2699459.3961,-4293282.3638,3855072.0563,
-2699486.395,-4293204.6297,3855106.844,-2699493.9155,-4293218.2239,3855106.5869,-2699476.0193,-0.073447,-4293196.2703,0.06715,3855110.1296,1.0565,-2699459.0626,-4293282.8231,3855072.3548,
-2699487.0351,-4293206.3687,3855108.6037,-2699501.3696,-4293213.4504,3855106.5308,-2699478.865,-0.079711,-4293198.463,0.073343,3855109.6625,0.96838,-2699458.7305,-4293283.3323,3855071.9804,
-2699485.3455,-4293204.2546,3855106.8485,-2699489.4029,-4293211.0471,3855114.0748,-2699480.052,-0.069708,-4293200.0669,0.083348,3855110.4218,0.90577,-2699458.4521,-4293283.9116,3855071.2621,
-2699485.3554,-4293204.7444,3855107.2035,-2699480.8307,-4293197.4141,3855101.7505,-2699480.1453,-0.06694,-4293199.72,0.094787,3855109.1642,0.92204,-2699458.8382,-4293284.6559,3855071.083,
-2699486.6345,-4293206.499,3855105.2669,-2699485.4919,-4293204.8272,3855108.4519,-2699480.7506,-0.090656,-4293200.3651,0.10473,3855109.1346,0.994,-2699459.4013,-4293285.4787,3855071.1349,
-2699487.5425,-4293207.7203,3855103.7704,-2699488.9578,-4293210.3392,3855099.4591,-2699481.6783,-0.11178,-4293201.6324,0.11247,3855107.7303,1.0222,-2699460.0818,-4293286.3604,3855071.2286,
-2699488.5088,-4293209.3574,3855103.4321,-2699488.8421,-4293210.1552,3855099.2928,-2699482.4905,-0.1107,-4293202.7133,0.11338,3855106.5171,0.99103,-2699460.7219,-4293287.2381,3855071.1849,
-2699490.0453,-4293212.1528,3855101.1562,-2699491.1826,-4293213.8776,3855102.6578,-2699483.473,-0.077545,-4293204.1323,0.10662,3855106.0055,0.94176,-2699461.117,-4293288.054,3855070.9916,
-2699488.6447,-4293210.5471,3855099.6369,-2699495.2559,-4293220.3557,3855094.5383,-2699484.7989,-0.052871,-4293206.1994,0.096147,3855104.3204,0.95203,-2699461.3793,-4293288.7866,3855070.8878,
-2699488.4548,-4293210.5265,3855099.5599,-2699485.9214,-4293205.5103,3855095.0938,-2699484.9293,-0.052605,-4293206.103,0.085511,3855102.9827,1.0189,-2699461.6854,-4293289.428,3855071.0085,
-2699487.1186,-4293213.1322,3855097.3419,-2699489.0082,-4293210.4194,3855099.5316,-2699485.3913,-0.076771,-4293206.6482,0.071941,3855102.5394,1.0784,-2699462.169,-4293289.9635,3855071.2712,
-2699486.9783,-4293214.8953,3855095.4726,-2699485.0906,-4293220.8172,3855090.6964,-2699485.3648,-0.093178,-4293208.4554,0.05952,3855100.807,1.055,-2699462.739,-4293290.4105,3855071.4045,
-2699486.3274,-4293216.5626,3855094.4275,-2699484.5684,-4293219.9868,3855089.9456,-2699485.2838,-0.087578,-4293209.9261,0.053209,3855099.2222,0.97616,-2699463.2421,-4293290.8165,3855071.2804,
-2699485.3945,-4293218.0675,3855093.8657,-2699485.5686,-4293221.5775,3855091.3836,-2699485.3231,-0.071203,-4293211.4125,0.056114,3855098.0965,0.91475,-2699462.9827,-4293290.335,3855071.6803,
-2699481.7939,-4293215.3664,3855093.4857,-2699486.1577,-4293222.5143,3855092.2305,-2699485.4227,-0.063337,-4293212.8283,0.06679,3855097.2713,0.92712,-2699462.7452,-4293289.7519,3855071.9346,
-2699481.3432,-4293216.0458,3855092.1772,-2699476.4945,-4293207.1463,3855092.3135,-2699484.4287,-0.07346,-4293212.095,0.083791,3855096.5883,0.98541,-2699462.4453,-4293289.0262,3855071.9034,
-2699482.4175,-4293217.4087,3855091.8684,-2699483.3984,-4293218.1261,3855088.2636,-2699484.3201,-0.084106,-4293212.8593,0.10004,3855095.3914,1.024,-2699462.1069,-4293288.1586,3855071.7457,
-2699480.1555,-4293218.2427,3855090.2829,-2699485.3264,-4293221.1923,3855091.0354,-2699484.44,-0.076282,-4293213.9168,0.11106,3855094.8069,1.0025,-2699461.8191,-4293287.2058,3855071.7587,
-2699478.5781,-4293219.2919,3855089.5015,-2699474.0126,-4293219.8274,3855085.5423,-2699483.2782,-0.042182,-4293214.6636,0.10741,3855093.4643,0.95129,-2699461.6863,-4293286.3087,3855072.0022,
-2699477.4508,-4293219.9737,3855088.8343,-2699475.1484,-4293221.6337,3855087.1753,-2699482.3708,-0.010218,-4293215.5465,0.091601,3855092.5764,0.93904,-2699461.6765,-4293285.5629,3855072.2438,
-2699477.6022,-4293221.6757,3855089.3551,-2699474.9425,-4293221.3063,3855086.8792,-2699481.5397,-0.0089268,-4293216.276,0.071366,3855091.7803,0.98961,-2699461.64,-4293284.9945,3855072.2059,
-2699475.1489,-4293218.9715,3855089.6526,-2699477.8669,-4293225.9572,3855091.0837,-2699481.1301,-0.048001,-4293217.5091,0.048905,3855091.7589,1.0632,-2699461.411,-4293284.6154,3855071.8612,
-2699474.0367,-4293218.2133,3855087.6872,-2699467.834,-4293210.001,3855090.635,-2699479.6465,-0.099273,-4293216.5442,0.031642,3855091.6762,1.0751,-2699460.966,-4293284.3826,3855071.5543,
-2699472.0333,-4293219.7642,3855087.0451,-2699471.4421,-4293215.7392,3855081.8467,-2699478.7372,-0.12844,-4293216.4386,0.022614,3855090.2525,1.0169,-2699462.2641,-4293284.4212,3855071.5543,
-2699471.2186,-4293222.1849,3855087.6959,-2699466.2739,-4293224.1482,3855085.1892,-2699477.3525,-0.11629,-4293217.4233,0.024903,3855089.5571,0.94324,-2699463.3466,-4293284.4691,3855071.7694,
-2699470.5031,-4293223.4888,3855087.612,-2699469.4005,-4293229.1207,3855089.6843,-2699476.4714,-0.078079,-4293218.918,0.032547,3855089.6563,0.93731,-2699463.9966,-4293284.5335,3855071.9415,
-2699469.9836,-4293224.33,3855087.5477,-2699467.8437,-4293226.6449,3855087.4462,-2699475.5114,-0.048431,-4293219.9038,0.042503,3855089.397,0.99157,-2699464.3885,-4293284.6167,3855071.9102,
-2699469.8051,-4293225.2565,3855087.681,-2699467.8016,-4293226.5779,3855087.3856,-2699474.6521,-0.040548,-4293220.7542,0.049223,3855089.1728,1.0451,-2699464.7602,-4293284.7111,3855071.7375,
-2699466.5016,-4293225.6543,3855086.5152,-2699468.3736,-4293227.4876,3855088.208,-2699473.9528,-0.050258,-4293221.6116,0.051887,3855089.1123,1.0314,-2699465.2671,-4293284.8089,3855071.666,
-2699463.5483,-4293225.5283,3855085.2422,-2699457.3379,-4293226.5649,3855083.1148,-2699472.0964,-0.043621,-4293222.2411,0.042939,3855088.2746,0.96639,-2699465.6804,-4293284.8859,3855071.8106,
-2699461.7855,-4293226.4471,3855085.0854,-2699456.2171,-4293224.7824,3855081.5033,-2699470.3213,-0.018918,-4293222.5629,0.024899,3855087.3129,0.92542,-2699465.8133,-4293284.9259,3855072.0403,
-2699458.9802,-4293228.7551,3855081.8513,-2699458.4739,-4293228.3715,3855084.748,-2699468.9957,0.00072718,-4293223.3044,0.0051217,3855086.9974,0.96025,-2699465.7689,-4293284.9291,3855072.1102,
-2699457.5507,-4293231.3532,3855080.2915,-2699451.9873,-4293234.6837,3855072.2193,-2699467.0909,-0.0024444,-4293224.7605,-0.012113,3855084.8059,1.0292,-2699465.818,-4293284.902,3855071.9523,
-2699458.8047,-4293231.7616,3855082.3264,-2699454.3481,-4293238.4384,3855075.6135,-2699465.6647,-0.031068,-4293226.5123,-0.02467,3855083.4791,1.0648,-2699465.6482,-4293284.7264,3855072.4449,
-2699457.5024,-4293232.6107,3855083.2441,-2699461.1953,-4293232.6998,3855088.6607,-2699465.1672,-0.043964,-4293227.3063,-0.025888,3855084.3655,1.0231,-2699465.4456,-4293284.5537,3855072.4829,
,,,-2699451.8623,-4293234.485,3855086.0153,-2699463.6809,-0.033752,-4293228.2271,-0.013104,3855084.704,0.953,-2699465.3083,-4293284.4855,3855072.0419,
,,,,,,,,,,,,-2699465.3462,-4293284.5669,3855071.5519,
,,,,,,,,,,,,-2699465.4186,-4293284.8088,3855071.5226,
,,,,,,,,,,,,-2699465.4261,-4293285.1883,3855071.8626,
,,,,,,,,,,,,-2699465.309,-4293285.6591,3855072.1121,
,,,,,,,,,,,,-2699465.2485,-4293286.1164,3855071.895,
,,,,,,,,,,,,-2699465.3531,-4293286.4905,3855071.439,
,,,,,,,,,,,,-2699465.6001,-4293286.7632,3855071.2821,
,,,,,,,,,,,,-2699465.3798,-4293286.5814,3855070.9467,
,,,,,,,,,,,,-2699465.2889,-4293286.4741,3855070.4463,
,,,,,,,,,,,,-2699465.2953,-4293286.3352,3855070.3486,
,,,,,,,,,,,,-2699465.2766,-4293286.0955,3855070.6826,
,,,,,,,,,,,,-2699465.152,-4293285.7178,3855071.114,
,,,,,,,,,,,,-2699464.961,-4293285.2048,3855071.1919,
,,,,,,,,,,,,-2699464.8116,-4293284.5444,3855070.8252,
,,,,,,,,,,,,-2699464.7492,-4293283.8345,3855070.3963,
,,,,,,,,,,,,-2699464.7183,-4293283.1731,3855070.2682,
,,,,,,,,,,,,-2699464.5821,-4293282.6551,3855070.4909,
,,,,,,,,,,,,-2699464.9131,-4293283.0268,3855070.4131,
,,,,,,,,,,,,-2699465.3882,-4293283.2293,3855070.7766,
,,,,,,,,,,,,-2699465.8208,-4293283.2841,3855071.3003,
,,,,,,,,,,,,-2699466.0746,-4293283.3069,3855071.3698,
,,,,,,,,,,,,-2699466.2179,-4293283.4239,3855070.8159,
,,,,,,,,,,,,-2699466.3979,-4293283.6559,3855070.1333,
,,,,,,,,,,,,-2699466.6112,-4293284.0101,3855069.9556,
,,,,,,,,,,,,-2699466.7154,-4293284.5195,3855070.362,
,,,,,,,,,,,,-2699466.626,-4293285.1198,3855070.8257,
,,,,,,,,,,,,-2699466.4839,-4293285.689,3855070.7866,
,,,,,,,,,,,,-2699466.5804,-4293285.6044,3855071.1214,
,,,,,,,,,,,,-2699466.4289,-4293285.5451,3855071.3378,
,,,,,,,,,,,,-2699466.3156,-4293285.5117,3855071.1457,
,,,,,,,,,,,,-2699466.4086,-4293285.5026,3855070.7447,
,,,,,,,,,,,,-2699466.5612,-4293285.4941,3855070.6059,
,,,,,,,,,,,,-2699466.4881,-4293285.4577,3855070.9256,
,,,,,,,,,,,,-2699466.1082,-4293285.3891,3855071.4454,
,,,,,,,,,,,,-2699465.7209,-4293285.2955,3855071.6616,
,,,,,,,,,,,,-2699465.6716,-4293285.1752,3855071.361,
,,,,,,,,,,,,-2699465.9799,-4293285.0455,3855070.8521,
,,,,,,,,,,,,-2699465.6267,-4293284.6544,3855070.9004,
,,,,,,,,,,,,-2699465.5721,-4293284.3244,3855070.8485,
,,,,,,,,,,,,-2699465.9127,-4293284.0357,3855070.7833,
,,,,,,,,,,,,-2699466.4268,-4293283.7939,3855070.7881,
,,,,,,,,,,,,-2699466.7976,-4293283.5704,3855070.866,
,,,,,,,,,,,,-2699466.9541,-4293283.3255,3855070.9122,
,,,,,,,,,,,,-2699467.1837,-4293282.9843,3855070.869,
,,,,,,,,,,,,-2699467.798,-4293282.5197,3855070.7568,
,,,,,,,,,,,,-2699468.6162,-4293281.9228,3855070.6906,
,,,,,,,,,,,,-2699469.1936,-4293281.2223,3855070.7244,
,,,,,,,,,,,,-2699469.1411,-4293281.375,3855070.4152,
,,,,,,,,,,,,-2699469.4031,-4293281.5163,3855070.2927,
,,,,,,,,,,,,-2699469.6529,-4293281.6276,3855070.4397,
,,,,,,,,,,,,-2699469.7256,-4293281.7053,3855070.6373,
,,,,,,,,,,,,-2699469.8602,-4293281.7544,3855070.5862,
,,,,,,,,,,,,-2699470.2689,-4293281.7844,3855070.3343,
,,,,,,,,,,,,-2699470.8544,-4293281.8109,3855070.1827,
,,,,,,,,,,,,-2699471.1955,-4293281.8538,3855070.2875,
,,,,,,,,,,,,-2699471.0914,-4293281.9193,3855070.5524,
,,,,,,,,,,,,-2699470.8775,-4293282.0026,3855070.6727,
,,,,,,,,,,,,-2699470.7747,-4293282.7444,3855070.8362,
,,,,,,,,,,,,-2699470.4119,-4293283.5018,3855071.1362,
,,,,,,,,,,,,-2699469.9437,-4293284.1625,3855071.129,
,,,,,,,,,,,,-2699469.608,-4293284.6333,3855070.7319,
,,,,,,,,,,,,-2699469.4791,-4293284.9142,3855070.28,
,,,,,,,,,,,,-2699469.4125,-4293285.0428,3855070.1768,
,,,,,,,,,,,,-2699469.1815,-4293285.0468,3855070.5187,
,,,,,,,,,,,,-2699468.759,-4293284.9967,3855070.8689,
,,,,,,,,,,,,-2699468.356,-4293285.02,3855070.8009,
,,,,,,,,,,,,-2699468.1957,-4293285.1924,3855070.2978,
,,,,,,,,,,,,-2699468.1473,-4293284.8674,3855070.6395,
,,,,,,,,,,,,-2699468.1048,-4293284.409,3855070.39,
,,,,,,,,,,,,-2699468.2251,-4293283.8707,3855069.7262,
,,,,,,,,,,,,-2699468.4503,-4293283.3696,3855069.3735,
,,,,,,,,,,,,-2699468.5859,-4293283.0383,3855069.6875,
,,,,,,,,,,,,-2699468.5133,-4293282.9255,3855070.3159,
,,,,,,,,,,,,-2699468.3522,-4293283.0066,3855070.5586,
,,,,,,,,,,,,-2699468.2868,-4293283.2281,3855070.2417,
,,,,,,,,,,,,-2699468.3794,-4293283.4986,3855069.8886,
,,,,,,,,,,,,-2699468.4608,-4293283.6767,3855070.0701,
,,,,,,,,,,,,-2699468.515,-4293283.6689,3855069.2112,
,,,,,,,,,,,,-2699468.6563,-4293283.5211,3855068.6768,
,,,,,,,,,,,,-2699468.7158,-4293283.265,3855069.0426,
,,,,,,,,,,,,-2699468.61,-4293282.9424,3855069.9375,
,,,,,,,,,,,,-2699468.4352,-4293282.6236,3855070.2984,
,,,,,,,,,,,,-2699468.3552,-4293282.3996,3855069.8036,
,,,,,,,,,,,,-2699468.4318,-4293282.2908,3855069.087,
,,,,,,,,,,,,-2699468.5227,-4293282.2499,3855069.0347,
,,,,,,,,,,,,-2699468.466,-4293282.2366,3855069.6974,
,,,,,,,,,,,,-2699468.2515,-4293282.1906,3855070.271,
,,,,,,,,,,,,-2699468.0514,-4293282.4542,3855070.0903,
,,,,,,,,,,,,-2699468.0367,-4293282.9743,3855069.3936,
,,,,,,,,,,,,-2699468.1185,-4293283.6864,3855068.9868,
,,,,,,,,,,,,-2699468.099,-4293284.5148,3855069.3515,
,,,,,,,,,,,,-2699467.9044,-4293285.3617,3855070.1538,
,,,,,,,,,,,,-2699467.695,-4293286.0913,3855070.4682,
,,,,,,,,,,,,-2699467.6507,-4293286.564,3855070.0523,
,,,,,,,,,,,,-2699467.7926,-4293286.7497,3855069.4852,
,,,,,,,,,,,,-2699467.9417,-4293286.6906,3855069.5275,
,,,,,,,,,,,,-2699467.9247,-4293286.4519,3855070.1613,
,,,,,,,,,,,,-2699468.3084,-4293286.5512,3855069.7675,
,,,,,,,,,,,,-2699468.6191,-4293286.6342,3855069.8963,
,,,,,,,,,,,,-2699468.4561,-4293286.6735,3855070.4237,
,,,,,,,,,,,,-2699467.8941,-4293286.6693,3855070.7391,
,,,,,,,,,,,,-2699467.289,-4293286.6304,3855070.5564,
,,,,,,,,,,,,-2699466.912,-4293286.5655,3855070.1603,
,,,,,,,,,,,,-2699466.6115,-4293286.5142,3855070.0707,
,,,,,,,,,,,,-2699466.1825,-4293286.5121,3855070.3154,
,,,,,,,,,,,,-2699465.5996,-4293286.5603,3855070.4281,
,,,,,,,,,,,,-2699465.1525,-4293286.6452,3855070.1216,
,,,,,,,,,,,,-2699465.2116,-4293286.2785,3855070.7319,
,,,,,,,,,,,,-2699465.1804,-4293286.0058,3855070.8386,
,,,,,,,,,,,,-2699465.2668,-4293286.014,3855070.2271,
,,,,,,,,,,,,-2699465.5964,-4293286.3395,3855069.3698,
,,,,,,,,,,,,-2699466.0075,-4293286.9391,3855069.057,
,,,,,,,,,,,,-2699466.2772,-4293287.7258,3855069.5149,
,,,,,,,,,,,,-2699466.2884,-4293288.5501,3855070.1458,
,,,,,,,,,,,,-2699466.2277,-4293289.2366,3855070.184,
,,,,,,,,,,,,-2699466.2741,-4293289.7211,3855069.592,
,,,,,,,,,,,,-2699466.4248,-4293290.0089,3855069.1417,
,,,,,,,,,,,,-2699466.5791,-4293290.023,3855069.3102,
,,,,,,,,,,,,-2699466.2973,-4293290.0338,3855069.7746,
,,,,,,,,,,,,-2699465.8769,-4293290.0512,3855069.9688,
,,,,,,,,,,,,-2699465.7494,-4293290.083,3855069.7108,
,,,,,,,,,,,,-2699466.1496,-4293290.1323,3855069.2935,
,,,,,,,,,,,,-2699466.6761,-4293290.195,3855069.2283,
,,,,,,,,,,,,-2699466.9345,-4293290.2663,3855069.5663,
,,,,,,,,,,,,-2699466.7544,-4293290.3376,3855069.9001,
,,,,,,,,,,,,-2699466.5201,-4293290.3965,3855069.8203,
,,,,,,,,,,,,-2699466.4793,-4293290.4333,3855069.4167,
,,,,,,,,,,,,-2699466.4389,-4293290.2915,3855069.4349,
,,,,,,,,,,,,-2699466.6284,-4293290.3164,3855069.4146,
,,,,,,,,,,,,-2699467.1226,-4293290.4485,3855069.3756,
,,,,,,,,,,,,-2699467.5649,-4293290.5454,3855069.3595,
,,,,,,,,,,,,-2699467.6655,-4293290.469,3855069.3773,
,,,,,,,,,,,,-2699467.3635,-4293290.1827,3855069.4052,
,,,,,,,,,,,,-2699467.0096,-4293289.7123,3855069.4122,
,,,,,,,,,,,,-2699466.8874,-4293289.0798,3855069.3965,
,,,,,,,,,,,,-2699467.0826,-4293288.3804,3855069.3851,
,,,,,,,,,,,,-2699467.4164,-4293287.7475,3855069.3971,
,,,,,,,,,,,,-2699467.0348,-4293288.1481,3855069.5106,
,,,,,,,,,,,,-2699466.495,-4293288.4426,3855069.5326,
,,,,,,,,,,,,-2699465.6444,-4293288.6289,3855069.4129,
,,,,,,,,,,,,-2699464.6041,-4293288.7279,3855069.2842,
,,,,,,,,,,,,-2699463.8275,-4293288.8257,3855069.3015,
,,,,,,,,,,,,-2699463.665,-4293288.996,3855069.4781,
,,,,,,,,,,,,-2699464.0538,-4293289.2429,3855069.6377,
,,,,,,,,,,,,-2699464.5148,-4293289.5461,3855069.6317,
,,,,,,,,,,,,-2699464.652,-4293289.88,3855069.4899,
,,,,,,,,,,,,-2699464.474,-4293290.1691,3855069.4087,
,,,,,,,,,,,,-2699464.5467,-4293290.0839,3855069.6378,
,,,,,,,,,,,,-2699464.3059,-4293290.104,3855070.092,
,,,,,,,,,,,,-2699463.9424,-4293290.2078,3855070.211,
,,,,,,,,,,,,-2699463.8535,-4293290.3726,3855069.8796,
,,,,,,,,,,,,-2699464.1106,-4293290.5661,3855069.4993,
,,,,,,,,,,,,-2699464.3797,-4293290.7197,3855069.5557,
,,,,,,,,,,,,-2699464.3708,-4293290.7902,3855070.037,
,,,,,,,,,,,,-2699464.1837,-4293290.7797,3855070.4321,
,,,,,,,,,,,,-2699464.1835,-4293290.6987,3855070.3684,
,,,,,,,,,,,,-2699464.5372,-4293290.5566,3855069.9491,
,,,,,,,,,,,,-2699464.4523,-4293290.7041,3855070.3955,
,,,,,,,,,,,,-2699464.4079,-4293290.8213,3855070.1337,
,,,,,,,,,,,,-2699464.4155,-4293290.8882,3855069.6335,
,,,,,,,,,,,,-2699464.4158,-4293290.9081,3855069.752,
