"complementaryfilter",,,"GPSx","GPSy","GPSz","mu",,,,,,
-2704113.318,-4261523.2457,3887183.3899,-2704108.1025,-4261518.6222,3887189.6473,-2704108.1025,0,-4261518.6222,0,3887189.6473,0,
-2704107.1228,-4261506.7686,3887172.5617,-2704127.8437,-4261533.2922,3887165.3161,-2704108.4029,0.098233,-4261518.9174,0.15841,3887188.9216,-0.12539,
-2704079.4254,-4261482.7744,3887161.4306,-2704088.7938,-4261455.3112,3887140.1762,-2704107.8332,0.12445,-4261516.5144,0.19965,3887186.2496,-0.083581,
-2704059.6475,-4261473.9001,3887170.207,-2703996.6057,-4261408.6718,3887127.5247,-2704103.27,0.13714,-4261510.7463,0.21152,3887181.7636,-0.02597,
-2704050.8799,-4261460.7423,3887168.2531,-2703999.7069,-4261446.4409,3887195.6773,-2704097.8544,0.13228,-4261506.4022,0.22206,3887183.0763,0.0046572,
-2704064.6638,-4261491.4166,3887170.01,-2704025.4525,-4261421.2519,3887161.7904,-2704093.3412,0.10704,-4261499.6366,0.23085,3887180.7547,0.011063,
-2704100.9752,-4261547.1017,3887175.286,-2704107.1959,-4261582.9583,3887175.2088,-2704094.3144,0.069062,-4261507.0523,0.21346,3887180.0876,0.030388,
-2704147.5904,-4261586.075,3887199.6385,-2704210.4269,-4261712.7631,3887190.708,-2704103.4068,0.023152,-4261527.0902,0.18158,3887181.4642,0.034555,
-2704195.3516,-4261660.1059,3887239.1703,-2704288.157,-4261703.7266,3887273.2664,-2704119.0447,-0.017317,-4261545.4744,0.15342,3887193.9483,0.0060944,
-2704196.4685,-4261661.1974,3887246.6235,-2704340.3293,-4261884.5984,3887357.1669,-2704138.9396,-0.057086,-4261582.5919,0.1149,3887216.941,-0.019712,
-2704197.4227,-4261665.3818,3887261.7529,-2704201.2431,-4261665.4064,3887268.2563,-2704144.8152,-0.069264,-4261591.9969,0.1051,3887224.3521,-0.060664,
-2704187.4179,-4261626.3259,3887237.748,-2704200.9629,-4261681.4065,3887306.7071,-2704150.3099,-0.066068,-4261602.4467,0.086566,3887236.4632,-0.016529,
-2704229.9702,-4261658.9324,3887266.6027,-2704157.3058,-4261513.9583,3887164.8978,-2704151.0192,-0.04348,-4261591.8621,0.083168,3887225.7974,-0.016137,
-2704234.8275,-4261681.8838,3887293.6906,-2704356.016,-4261761.3405,3887353.2216,-2704172.1237,-0.029783,-4261612.4477,0.068824,3887244.9622,0.053908,
