"time","dt","x","y","z","lat","long","alt",
2022,0.00093732,-2701022.4568,-4256336.3198,3883112.2894,37.7933,-122.3987,193.063,
2,,-2700970.337,-4256313.6398,3883104.7525,37.7936,-122.3984,151.2439,
26,,-2700996.7725,-4256360.0917,3883086.5842,37.7931,-122.3984,182.2967,
22,,-2700994.2551,-4256353.6183,3883072.6345,37.7931,-122.3984,168.3631,
0,,-2700975.968,-4256348.6895,3883038.7463,37.7929,-122.3982,136.5645,
6.437,,-2700994.0331,-4256451.8476,3883017.7297,37.7922,-122.3978,200.1647,
,,-2701000.1178,-4256334.607,3883056.9184,37.793,-122.3985,148.5295,
,,-2701018.4038,-4256384.691,3883133.0389,37.7933,-122.3984,236.3368,
,,-2700983.9953,-4256425.8931,3883058.2872,37.7927,-122.3978,203.4506,
,,-2700994.6223,-4256433.6751,3883030.7143,37.7924,-122.3979,196.2459,
,,-2700989.0962,-4256461.3136,3883070.4166,37.7926,-122.3977,236.6771,
,,-2700979.8661,-4256468.812,3883080.1272,37.7926,-122.3975,243.7229,
,,-2700985.2922,-4256407.5682,3883065.6591,37.7928,-122.398,196.2904,
,,-2700992.0582,-4256512.4922,3883079.7688,37.7924,-122.3974,277.8105,
,,-2701000.7644,-4256423.3132,3883122.2172,37.7931,-122.398,248.0062,
,,-2700989.8054,-4256424.1062,3883111.9641,37.793,-122.3979,237.612,
,,-2701016.4245,-4256412.8939,3883211.2585,37.7937,-122.3982,302.2507,
,,-2701040.2822,-4256409.3306,3883220.3164,37.7937,-122.3985,315.5255,
,,-2700988.0692,-4256435.4235,3883071.2372,37.7927,-122.3978,219.4704,
,,-2701002.652,-4256437.9016,3883131.6212,37.7931,-122.3979,264.3021,
,,-2701033.2691,-4256418.0625,3883236.3324,37.7938,-122.3984,328.1972,
,,-2701045.3954,-4256411.2226,3883212.4377,37.7936,-122.3985,314.1246,
,,-2701044.269,-4256441.8001,3883237.2869,37.7937,-122.3983,349.2777,
,,-2701028.9101,-4256435.6553,3883166.9466,37.7933,-122.3982,295.5689,
,,-2701041.603,-4256395.7533,3883201.5789,37.7937,-122.3986,295.543,
,,-2701023.0712,-4256422.2062,3883236.5784,37.7938,-122.3982,326.7948,
,,-2701030.5378,-4256411.2398,3883221.1145,37.7938,-122.3984,313.1625,
,,-2701046.7997,-4256387.3438,3883209.5601,37.7937,-122.3987,297.0234,
,,-2701038.8822,-4256386.352,3883178.1021,37.7935,-122.3986,273.7312,
,,-2701047.156,-4256424.2268,3883206.1542,37.7935,-122.3984,319.696,
,,-2700987.9014,-4256377.1605,3883135.8231,37.7934,-122.3982,220.1037,
,,-2701013.7631,-4256405.4123,3883158.0564,37.7934,-122.3982,263.5287,
,,-2701017.0166,-4256380.9642,3883152.8715,37.7934,-122.3984,245.4166,
,,-2701020.5819,-4256406.5501,3883141.1522,37.7932,-122.3983,256.8159,
,,-2701000.3591,-4256396.2455,3883082.9788,37.7929,-122.3982,205.7286,
,,-2701012.6233,-4256403.6032,3883110.0128,37.793,-122.3982,232.3973,
,,-2700991.105,-4256430.4559,3883057.5796,37.7926,-122.3979,209.0718,
,,-2701001.1962,-4256404.9164,3883097.0522,37.793,-122.3981,220.4928,
,,-2701007.5296,-4256403.3495,3883077.7441,37.7928,-122.3982,210.2968,
,,-2701048.7054,-4256406.7227,3883138.2263,37.7931,-122.3986,267.0457,
,,-2701015.5144,-4256357.4016,3883145.9904,37.7935,-122.3986,224.8422,
,,-2701011.6038,-4256421.6747,3883041.3183,37.7925,-122.3981,201.927,
,,-2701015.6738,-4256417.9663,3883067.1445,37.7927,-122.3982,217.0023,
,,-2701020.3608,-4256386.2557,3883043.3842,37.7926,-122.3984,183.2682,
,,-2700999.9581,-4256440.5381,3883074.7141,37.7927,-122.3979,230.0475,
,,-2701015.0912,-4256405.0589,3883039.7924,37.7925,-122.3983,191.3819,
,,-2701028.493,-4256417.7005,3883060.7589,37.7926,-122.3983,218.3396,
,,-2701057.2952,-4256419.5084,3883070.1616,37.7926,-122.3986,237.503,
