"time","dt","x","y","z","lat","long","alt",
2022,0.00093732,-2700965.8797,-4256593.9436,3882788.842,37.79,-122.3966,142.7993,
2,,-2700960.3192,-4256638.2809,3882776.4902,37.7897,-122.3963,162.461,
26,,-2700942.4828,-4256660.7894,3882780.733,37.7897,-122.396,172.5282,
22,,-2700980.0677,-4256745.1118,3882800.7261,37.7893,-122.3958,256.9588,
33,,-2700962.2562,-4256746.5669,3882782.6003,37.7893,-122.3957,239.2816,
23.437,,-2700939.3206,-4256621.4233,3882789.7494,37.79,-122.3962,150.4464,
,,-2700932.0736,-4256580.0279,3882764.26,37.79,-122.3964,104.1371,
,,-2700992.1158,-4256711.7659,3882791.5783,37.7894,-122.3962,234.2036,
,,-2700990.2611,-4256723.1033,3882800.9311,37.7894,-122.3961,246.7146,
,,-2701012.8717,-4256693.5482,3882790.0558,37.7894,-122.3965,229.9027,
,,-2700954.528,-4256673.1436,3882765.9694,37.7895,-122.396,176.8251,
,,-2700957.3069,-4256687.7615,3882765.7774,37.7894,-122.396,187.6382,
,,-2700964.8601,-4256607.9162,3882751.7939,37.7897,-122.3965,128.9892,
,,-2701009.1925,-4256612.0861,3882770.3271,37.7897,-122.3969,161.8988,
,,-2701012.9967,-4256648.1884,3882772.2495,37.7895,-122.3968,188.7773,
,,-2700996.0581,-4256623.4565,3882757.4709,37.7896,-122.3967,156.0468,
,,-2700974.8877,-4256498.292,3882744.3073,37.7901,-122.3973,55.4991,
,,-2700972.7305,-4256485.9215,3882739.6671,37.7901,-122.3974,43.488,
,,-2700985.8018,-4256509.2525,3882741.2599,37.79,-122.3973,65.5664,
,,-2700975.9958,-4256573.225,3882734.5128,37.7897,-122.3969,99.9666,
,,-2701006.9581,-4256670.6068,3882769.9831,37.7894,-122.3966,199.7909,
,,-2701019.4542,-4256687.1929,3882772.715,37.7893,-122.3966,217.8233,
,,-2700988.3785,-4256679.8855,3882735.7622,37.7892,-122.3963,177.1465,
,,-2701023.7935,-4256660.5362,3882758.0362,37.7893,-122.3968,192.8788,
,,-2701001.1324,-4256616.6871,3882757.2278,37.7896,-122.3968,153.5294,
,,-2700989.1976,-4256641.7565,3882729.7548,37.7893,-122.3966,148.3698,
,,-2700982.6924,-4256617.9855,3882739.4868,37.7895,-122.3966,135.717,
,,-2701015.8499,-4256711.5568,3882746.8812,37.789,-122.3964,216.7247,
,,-2701079.407,-4256752.8733,3882755.4711,37.7887,-122.3968,276.4685,
,,-2701052.2415,-4256831.1203,3882765.3851,37.7885,-122.396,323.2538,
,,-2701024.2094,-4256732.9094,3882752.3276,37.7889,-122.3963,237.8496,
,,-2701077.3823,-4256778.9397,3882755.733,37.7886,-122.3966,293.1652,
,,-2701041.586,-4256749.2088,3882747.776,37.7888,-122.3964,253.2942,
,,-2701035.0385,-4256712.8544,3882737.4962,37.7889,-122.3966,219.9645,
,,-2701015.4797,-4256682.1124,3882742.0963,37.7891,-122.3966,193.9885,
,,-2701018.1303,-4256741.9901,3882749.5763,37.7889,-122.3962,239.6491,
,,-2701019.2068,-4256684.0339,3882770.7387,37.7893,-122.3966,214.3996,
,,-2700981.5948,-4256720.0416,3882741.2032,37.789,-122.396,204.4034,
,,-2701028.9221,-4256768.1135,3882732.6614,37.7886,-122.3962,251.2854,
,,-2701066.5084,-4256836.3806,3882772.8567,37.7885,-122.3961,337.3828,
,,-2701084.6464,-4256870.2065,3882773.7889,37.7883,-122.3961,368.2052,
,,-2701043.2511,-4256864.4795,3882755.3574,37.7883,-122.3957,335.5629,
,,-2701041.3692,-4256854.5161,3882770.3369,37.7884,-122.3958,337.2963,
,,-2701087.1341,-4256815.9005,3882756.7257,37.7884,-122.3964,322.5657,
,,-2701121.8576,-4256883.514,3882783.1907,37.7882,-122.3964,398.6016,
,,-2701052.2521,-4256770.5851,3882729.4329,37.7885,-122.3964,260.8345,
,,-2701086.5643,-4256787.2941,3882738.31,37.7884,-122.3966,291.9517,
,,-2701069.2151,-4256767.3021,3882741.2303,37.7886,-122.3966,273.0551,
,,-2701062.1816,-4256768.7101,3882723.0907,37.7884,-122.3965,259.9015,
,,-2701071.6402,-4256775.9424,3882696.6091,37.7882,-122.3965,252.5059,
,,-2701126.4331,-4256853.1048,3882723.5321,37.7879,-122.3966,343.692,
,,-2701075.746,-4256786.2239,3882701.1506,37.7882,-122.3965,263.8878,
,,-2701152.3195,-4256875.6056,3882732.786,37.7877,-122.3967,375.3375,
,,-2701124.9419,-4256847.0056,3882729.8839,37.7879,-122.3966,342.8827,
,,-2701128.828,-4256863.147,3882734.7373,37.7879,-122.3966,358.273,
,,-2701135.9512,-4256844.9483,3882775.4114,37.7882,-122.3967,374.0681,
,,-2701127.6623,-4256852.7585,3882772.3941,37.7882,-122.3966,373.9212,
,,-2701112.9298,-4256791.3754,3882753.841,37.7884,-122.3968,315.3552,
,,-2701128.262,-4256853.0601,3882767.5609,37.7882,-122.3966,371.4149,
,,-2701117.7723,-4256846.3302,3882765.6429,37.7882,-122.3966,361.3075,
