aX,aY,aZ,temperature,gX,gY,gZ
3108,3924,16592,16.62,-2211,5224,-328
-452,4004,18744,16.53,-1061,3740,1901
-320,3264,16176,16.48,-2716,999,-506
848,3736,18188,16.58,58,-43,-308
1740,1620,18084,16.53,-2631,422,-4490
844,2956,15580,16.48,632,61,-1728
-436,2516,18592,16.53,897,1779,-2115
1228,3332,15808,16.53,-2422,1251,-1805
868,2672,17684,16.48,-1746,-320,-1754
-572,3408,16308,16.48,-1381,407,-12
-1640,3200,18432,16.53,-1038,736,203
-1404,2108,17896,16.48,2592,1537,1789
1428,3496,14228,16.48,1358,1797,1033
-2704,916,17080,16.44,2708,1952,5363
1232,2552,14912,16.44,-2388,-617,3576
-568,2208,17004,16.48,1825,-2934,3494
-1752,3120,17000,16.44,-559,-1193,309
1004,1992,17004,16.48,139,-125,-2452
960,2312,18452,16.48,-123,69,-2942
268,1800,12832,16.44,-628,159,-1933
-1272,2372,14816,16.39,210,1329,-1095
612,2892,13948,16.48,-962,135,466
452,3648,18504,16.53,711,80,523
2292,3316,20372,16.39,-2596,1217,-279
-2740,1512,15608,16.44,701,-128,2866
-3236,1184,16540,16.29,-1933,1291,-1657
-904,2072,13444,16.44,1243,166,-703
-208,3044,11124,16.29,-969,-1290,-1181
3288,1752,18072,16.34,977,-2089,-3145
820,1468,18964,16.39,-697,-1262,-3245
420,1024,16676,16.34,-2149,-300,-2865
-1052,2044,14148,16.48,2372,-750,-735
-32,3212,18036,16.48,1772,2337,-1533
-1492,2252,18412,16.44,2807,2514,-499
-464,216,20420,16.29,994,-56,241
1312,616,18056,16.34,-3950,2216,-1153
1056,2156,14352,16.34,1003,-1597,493
1432,2264,15092,16.39,2115,-1411,-199
1164,1816,23716,16.34,2164,-1329,-1208
456,-88,20428,16.39,1363,1713,-3204
2144,1768,17464,16.34,-2064,87,-1003
-1996,1308,12600,16.29,371,-820,-463
-208,2020,17196,16.39,-137,501,-1311
-1308,1016,23084,16.29,1094,-564,781
-1484,-632,24128,16.39,1074,736,-435
96,668,19124,16.34,-3388,-50,673
896,1736,15404,16.29,349,-1072,527
-2568,1356,17628,16.34,2579,-602,-391
3388,1808,21380,16.29,733,-351,-2564
848,1396,20128,16.34,814,1931,-2456
1664,1280,15920,16.29,-3096,853,-1686
-1156,1576,12704,16.29,748,-370,233
2348,3500,19124,16.29,1574,-135,-619
-476,2548,21640,16.25,3030,2180,1525
1192,1036,23980,16.39,1220,-1002,1834
-1244,-952,17924,16.2,-6851,-99,171
264,1532,16396,16.34,-1195,-2532,434
636,3012,16544,16.29,-1772,-178,-1816
964,2412,21312,16.15,-40,-186,-2392
-792,556,20356,16.29,-645,1606,-3131
3468,1960,14992,16.29,-1460,-772,-1031
-1648,1672,13124,16.25,53,-585,-2
936,3220,17724,16.29,-293,-262,135
-1140,1872,22904,16.25,1007,-353,127
-448,612,24844,16.2,-1577,179,1601
1396,1092,16148,16.25,-2442,-1074,2773
-1076,1044,16656,16.15,-2620,-1097,772
-152,2084,16276,16.29,-354,-506,-416
-548,1148,20388,16.25,-475,-1462,-1569
-356,240,22368,16.2,-1419,189,-3500
3004,808,17112,16.25,-893,-2202,-592
-2016,1756,12352,16.25,-97,1628,-1072
480,2484,15276,16.2,-5,-835,-921
504,2416,21736,16.29,577,620,-887
1020,1220,22236,16.2,-2561,1211,-476
420,836,15048,16.25,-1596,-1011,1460
-696,1744,13216,16.29,546,300,11
1620,2980,13144,16.29,48,-776,42
1508,2148,17912,16.25,666,-709,-2402
1168,664,20576,16.29,-2898,-466,-3491
-780,732,17776,16.15,-601,1112,-10
-2596,1456,16784,16.2,197,1462,-657
-1216,2116,13644,16.25,366,715,603
828,3168,17280,16.11,1082,183,1276
1248,1840,17484,16.25,1069,897,1354
-4184,1328,14124,16.2,-1464,148,2401
-1760,776,17396,16.15,-1437,779,957
2048,2616,12544,16.2,419,-195,634
532,2376,17468,16.15,1553,226,-1641
1028,144,18568,16.2,989,651,-4405
-2900,1124,17172,16.2,899,-371,-1689
-1732,1812,16864,16.25,947,997,-1100
1076,3016,12448,16.2,1327,-162,636
-108,3212,16280,16.06,879,1007,1123
1972,2460,15832,16.11,-891,2252,608
-2424,956,15620,16.15,1125,1145,-265
856,1556,19248,16.2,-1346,457,613
492,1836,13796,16.15,1069,242,-14
1472,2328,15172,16.29,1337,-369,404
1844,784,19184,16.2,19,129,-1845
-2392,792,19004,16.2,-2157,-573,275
1236,1524,17816,16.29,-571,694,-133
