"time","dt","x","y","z","lat","long","alt",
2022,0.00093732,-2701077.5491,-4256750.8378,3882842.9881,37.7893,-122.3968,327.9501,
2,,-2701097.5143,-4256764.3164,3882819.7995,37.789,-122.3969,331.1885,
26,,-2701060.5911,-4256689.9801,3882789.2211,37.7893,-122.397,247.2152,
22,,-2700974.3884,-4256639.1568,3882776.9899,37.7897,-122.3964,169.3086,
24,,-2700973.761,-4256681.1661,3882843.1016,37.79,-122.3962,237.5855,
57.437,,-2701001.2753,-4256653.1597,3882811.0606,37.7898,-122.3966,210.9136,
,,-2701085.2486,-4256813.4807,3882824.4467,37.7889,-122.3964,361.6487,
,,-2701186.2381,-4256943.6083,3882841.1433,37.7881,-122.3966,501.4711,
,,-2701260.399,-4256938.5838,3882921.7989,37.7885,-122.3974,578.9409,
,,-2701311.8981,-4257114.7268,3883011.3143,37.7881,-122.3968,773.133,
,,-2701172.0488,-4256898.0793,3882920.16,37.7889,-122.3968,513.5001,
,,-2701177.5887,-4256913.7374,3882954.9616,37.7891,-122.3967,547.6188,
,,-2701129.4786,-4256747.8465,3882814.5334,37.789,-122.3973,330.5059,
,,-2701328.6177,-4256994.0734,3883003.8191,37.7886,-122.3977,695.1106,
,,-2701222.4331,-4256985.0419,3883028.3836,37.7891,-122.3967,659.1757,
,,-2701208.6058,-4256834.6414,3882921.9924,37.7891,-122.3975,487.7714,
,,-2701184.095,-4256878.6764,3882905.7715,37.7889,-122.397,496.8369,
,,-2701248.0241,-4256862.8005,3882974.4003,37.7892,-122.3977,555.3649,
,,-2701410.7706,-4256961.1886,3883052.1559,37.7889,-122.3987,737.5722,
,,-2701436.3604,-4257077.2042,3883127.0822,37.7888,-122.3982,871.7319,
,,-2701290.0337,-4257043.8941,3883045.6427,37.7888,-122.397,737.6448,
,,-2701209.8751,-4256831.8937,3882983.6712,37.7896,-122.3975,524.2698,
,,-2701158.0545,-4256729.5936,3882952.0696,37.79,-122.3977,414.7029,
,,-2701133.4273,-4256672.0982,3882875.2367,37.7898,-122.3978,318.8303,
,,-2701107.8839,-4256631.447,3882893.9466,37.7902,-122.3978,292.3548,
,,-2701221.4275,-4256819.9878,3882942.5525,37.7893,-122.3977,496.0209,
,,-2701131.739,-4256679.6122,3882909.1044,37.79,-122.3977,343.8823,
,,-2701195.2624,-4256763.4663,3882961.0558,37.7898,-122.3978,458.5656,
,,-2701096.8038,-4256646.7459,3882833.9646,37.7897,-122.3976,261.1165,
,,-2701145.7618,-4256635.1019,3882873.6138,37.7899,-122.3981,298.3725,
,,-2701203.5904,-4256724.5959,3882888.2422,37.7894,-122.3981,391.5378,
,,-2701186.5698,-4256621.9105,3882861.3721,37.7897,-122.3986,299.3483,
,,-2701211.4391,-4256780.8228,3882935.7885,37.7895,-122.3979,461.5136,
,,-2701082.1136,-4256577.9408,3882816.2375,37.7899,-122.3978,198.1231,
,,-2701013.1575,-4256554.5477,3882814.8373,37.7902,-122.3973,152.4589,
,,-2701027.3438,-4256555.4078,3882823.2936,37.7903,-122.3975,164.2212,
,,-2701022.4267,-4256545.9159,3882837.0555,37.7904,-122.3975,164.2386,
,,-2701051.0877,-4256523.5812,3882854.7619,37.7906,-122.3979,172.3212,
,,-2701018.5711,-4256499.5613,3882778.7425,37.7902,-122.3977,95.9431,
,,-2701086.3424,-4256551.799,3882793.1284,37.7899,-122.398,168.3099,
,,-2701244.8674,-4256645.0994,3882845.7697,37.7893,-122.399,329.9457,
