aX,aY,aZ,temperature,gX,gY,gZ
2172,3064,17444,18.13,438,509,-2019
-2248,1780,17648,18.04,-515,1676,-1280
2132,2364,14616,18.18,-559,49,-709
-1628,2424,13552,18.08,2032,-2101,1606
-1404,3268,18460,18.08,2286,1572,-414
-1492,3332,18136,17.99,1349,2898,566
-3376,1360,18028,18.04,792,2005,-77
1300,2256,15404,18.13,-1647,1377,-1783
852,3224,13272,18.04,1197,710,-403
-1336,3632,14220,18.13,619,325,-500
340,4692,17616,18.08,763,-1861,-347
-680,3072,19036,18.04,15,928,-1590
3020,2004,17224,18.04,-1398,-1169,-1310
68,2492,14536,18.08,-707,514,71
528,3332,16696,18.08,-707,1390,-2
1088,3744,20924,18.04,875,956,-1019
-2352,1488,22908,17.99,-1014,-1216,394
560,1344,13796,17.99,-5900,-209,640
172,2576,14912,17.94,-150,2397,959
1628,2764,12420,18.13,1897,-384,627
324,3092,19044,18.08,778,-1356,-1835
-296,1612,21032,18.08,-450,-672,-2515
292,1544,17328,18.04,-840,-138,-1165
-1716,2476,13724,17.99,-1168,428,-2383
2764,3808,16664,18.04,-135,-164,-121
1260,2856,20308,17.99,1619,3029,89
-260,3204,22168,17.99,-1371,274,638
-2908,928,16132,18.04,-670,-1841,1144
-2344,1916,15252,17.99,-1072,-1812,488
944,2440,16668,18.04,-736,1200,-2854
-1628,4072,18772,18.04,1997,-1285,-1882
340,3080,18904,17.99,2,-444,-2653
-2096,2068,16552,18.08,-1329,810,-1552
1980,2824,15788,18.04,-2763,1528,-1255
172,3392,11576,17.99,-363,-129,805
-976,4120,18072,18.04,1740,404,282
548,3564,15740,18.04,705,1250,1275
-568,1864,17088,18.04,-237,1198,1755
232,1512,17504,17.99,-2180,1487,207
1380,2832,12096,17.99,1387,593,375
-488,2160,15888,18.04,2411,-93,-415
2352,3228,18340,18.04,-814,45,-3143
-100,2676,19652,17.94,-67,255,-3857
308,2256,16160,17.89,-1349,122,-774
-1228,2628,13648,17.99,1505,-1265,1815
-724,3788,18492,18.04,2911,-159,1082
-620,3844,17096,18.04,2496,1057,2347
-908,2092,18332,17.99,167,263,2257
696,1800,15660,17.99,-1509,64,707
2372,3592,14916,17.94,2205,-2579,1482
1076,3764,15088,17.99,1744,255,443
2008,3732,20816,17.99,311,-333,-370
1620,3776,17820,18.04,-1067,-414,-2911
1784,2292,15004,17.94,-1863,441,-707
-968,2784,15456,17.89,-311,970,-107
180,4176,17560,17.89,1028,894,-409
-2020,3056,21600,18.04,1461,2573,-96
-1664,2040,19656,17.94,-3235,15,-190
-288,1980,18848,17.94,-1230,-3089,2746
-1312,2132,18368,17.89,-527,1,-164
-1404,2796,15652,17.89,847,-279,-592
-832,3168,18824,17.94,764,-993,-1057
-868,2200,20100,17.94,-2088,600,-4257
-472,2544,18812,17.94,-1793,514,167
656,2860,15496,17.89,-1509,2031,-1311
1332,3556,13848,17.99,73,1300,149
484,3784,15912,17.94,1676,1760,104
256,4228,16652,17.94,-630,2070,247
-5284,1340,17728,17.94,-718,1808,1343
-2256,1992,16884,17.99,-1858,1024,342
-600,2172,14108,17.89,835,-385,1408
260,3064,15544,17.89,905,-717,-413
1460,3944,16416,17.99,885,-1697,-1997
-1424,2160,18664,17.89,-1722,161,-673
3868,1676,15168,17.89,-1451,-614,-815
-1328,2340,14248,17.94,1241,470,113
-1188,2680,18160,17.85,2075,-196,174
1988,3076,23624,17.94,2069,961,1537
-2620,476,22628,17.94,1398,-1648,169
-392,1176,16084,17.85,-2463,-1356,919
-712,1552,16080,17.99,1492,-898,1374
-1424,2656,16600,17.99,1524,-1211,-280
-1432,3344,21584,17.99,391,-317,-2052
680,2132,22016,17.89,-1077,-552,-2335
1496,2348,14932,17.99,-979,99,-632
-1924,2640,14520,17.89,-540,1452,-2060
-548,3624,15892,17.99,213,754,-902
-352,2992,21500,17.89,2329,710,-595
-3096,1732,24840,17.89,-2593,685,1314
1704,2336,16636,17.89,-2123,-1787,2443
-2508,2032,16540,17.85,-837,665,28
-1428,2696,15124,17.94,1562,-231,-630
-1080,3116,19656,17.94,1271,-920,-1621
-764,2708,20780,17.89,-871,-354,-2390
196,2932,16284,17.89,45,825,-752
-492,2800,13828,17.89,670,2991,-1414
228,3676,14852,17.89,561,-153,-131
-1360,4020,19416,17.89,1191,206,-85
-996,4568,19388,17.89,-1812,729,246
-952,3448,16792,17.89,-869,1494,1926
-2576,1776,20156,17.89,-3007,250,-380
-172,2972,16108,17.94,880,-694,541
-2148,3456,19044,17.85,209,-3096,154
-104,3628,21556,17.89,-1462,226,-2322
-1940,1584,18536,17.89,-487,2258,-569
1548,1708,16692,17.8,-1545,755,-1050
996,3036,13832,17.89,356,-820,628
632,4340,16780,17.85,1913,421,250
48,4728,15824,17.85,1095,1178,248
-3212,2216,19664,17.85,210,1292,690
668,2700,16596,17.85,-921,-643,19
100,2788,14388,17.71,1880,-772,2353
284,4212,17040,17.89,3343,-3348,972
96,3872,18096,17.8,201,77,-1496
444,3068,21000,17.89,-961,166,-1691
264,2340,14564,17.75,-420,-2009,-202
-3328,2904,17664,17.75,1344,-989,12
-676,4200,18496,17.85,1236,1905,-280
-2016,3944,20108,17.85,2370,1684,328
-1580,3232,19972,17.89,-840,-1153,2278
-476,2172,17132,17.85,-1266,-2767,1391
-1012,2820,17360,17.75,881,221,2720
-352,3432,16384,17.8,2870,121,-590
-1788,4064,17736,17.8,2307,-1957,2010
-1500,3360,18808,17.94,-498,-2409,-2996
1176,3772,17588,17.89,-562,-433,-1327
-2916,3064,15924,17.89,2519,2533,636
312,4068,16352,17.75,224,-294,449
-2236,4604,20768,17.85,67,-635,294
-2180,4672,19472,17.94,-3404,1344,-559
-2368,2844,16880,17.89,-2686,33,848
-884,2308,13724,17.8,-3276,1983,-413
88,3508,14372,17.75,93,-473,-126
464,4208,17556,17.94,1534,-1338,-199
-856,2476,23628,17.89,-2300,-768,-2236
-1548,1788,20200,17.8,-1042,843,113
1036,3500,16356,17.85,1306,507,-2093
2288,3992,12928,17.75,739,1253,-322
228,4148,16656,17.89,1440,244,1229
448,4648,19492,17.89,-215,2156,845
-1744,3480,15776,17.8,-938,2681,644
1404,3440,14616,17.85,-2153,729,-410
1196,3544,13816,17.85,602,-124,-606
48,3892,15280,17.85,766,-306,-530
2852,3964,18312,17.89,166,779,-1699
-1324,2348,18752,17.8,-2532,1876,-1816
116,2632,16288,17.85,-1516,-1884,-257
-2948,2728,14544,17.85,3086,-561,-674
-1100,4188,16116,17.8,2034,206,466
-740,4944,18876,17.8,2088,555,1212
-3036,2868,18932,17.8,-781,-416,1094
2456,3244,15496,17.85,-1171,-2072,1924
-52,2808,14020,17.85,1154,-1855,2623
-428,4140,16496,17.89,1578,-842,-109
272,5080,20316,17.89,1292,-1893,305
768,3560,19036,17.71,-736,1675,-2655
1940,2884,15596,17.8,-1765,-421,-1056
-652,3040,14288,17.85,149,680,413
-800,3264,16068,17.75,1164,1863,-524
-1012,4132,19596,17.8,1723,-200,-1036
-472,3232,22936,17.8,-1364,-499,1729
-1172,2264,15112,17.8,-1114,-1413,1565
-1948,2128,14732,17.75,-883,860,353
-468,3756,16396,17.85,281,1386,287
188,3812,19180,17.85,896,-642,-490
2576,2792,22004,17.89,-636,-2647,-1997
1360,2216,15816,17.8,-1747,-1767,-1831
-184,3188,13752,17.85,631,3318,-1809
412,4264,16096,17.85,1855,700,390
