aX,aY,aZ,temperature,gX,gY,gZ
-648,4636,17588,16.34,-725,2997,-1161
-2536,3968,17948,16.39,-176,1993,-183
1296,4536,15280,16.39,509,1932,-1227
-24,4920,16140,16.44,-368,1221,-1289
-108,4720,17268,16.34,1302,152,107
-2940,3260,18892,16.39,433,1967,-590
-36,4128,15904,16.34,967,-862,-1462
-1028,4348,17064,16.44,511,-858,576
288,4836,16100,16.48,-1719,72,420
-524,4584,15328,16.44,-3107,-657,-982
648,4392,16944,16.44,-2376,-729,478
636,4788,18252,16.39,-1095,880,-564
-1904,4528,17780,16.44,4,1215,-267
-2392,2804,19000,16.39,20,1845,812
1160,3328,17520,16.39,221,1092,-175
-340,3388,15020,16.34,1080,2869,2667
-2940,3216,18416,16.34,1280,295,2175
1324,4736,16304,16.39,1435,-1911,340
-900,4908,19248,16.44,195,-3030,1853
156,3920,20964,16.34,-36,-481,-1943
384,3096,14008,16.39,1275,-925,-707
692,3744,14648,16.44,-4629,-813,-414
760,3344,17204,16.44,-3465,-1381,-2
1112,4292,17264,16.39,383,1837,39
-572,3868,18412,16.44,3951,2071,332
-1340,2960,18832,16.34,-1144,3425,1916
-1120,1444,17308,16.48,604,957,3417
760,3492,12744,16.39,336,2791,1427
1732,4456,15624,16.44,-648,516,-2586
580,5428,18336,16.34,2946,-1961,-3790
912,4188,21540,16.39,-971,-143,-6236
-956,3276,16064,16.39,-614,-82,-5181
-2020,3348,15520,16.44,129,2401,-5242
-840,4580,15580,16.39,781,-1046,-5903
-3336,4884,13928,16.48,1543,253,-1290
-4932,4324,17968,16.44,1448,1308,2720
-7636,1960,12612,16.39,-3191,36,3899
-1340,1668,13996,16.44,-5772,1033,853
1384,3360,18624,16.44,-790,1526,307
-5820,2600,14580,16.39,2130,-131,1571
-5640,3224,18632,16.39,1713,1263,803
-2776,2412,22288,16.44,590,551,-227
-776,2832,19760,16.34,-599,-1017,288
-1460,2620,17468,16.39,-783,-280,423
-2772,4320,16236,16.34,1620,764,70
-5944,4244,20920,16.44,2401,1344,-14
-4848,2996,18712,16.39,-2447,-17,2638
1532,5136,19560,16.39,-56,-2917,4153
-3276,2452,15348,16.44,1392,2140,474
-1384,4596,13512,16.39,2313,850,1279
-1664,4676,17048,16.39,-2899,-149,1332
-1924,2396,22208,16.39,-8497,-704,-2338
-4740,916,20088,16.44,590,-1092,845
-632,2884,14760,16.44,591,-209,-2139
1348,3588,14992,16.39,462,3775,-1717
-3732,4376,18352,16.39,6890,2269,-2865
-1864,4632,18532,16.44,431,849,-683
-3144,3248,19264,16.34,-794,-838,1090
-4964,3036,14476,16.39,30,-277,371
-2764,4688,14264,16.44,2155,-377,1557
-3296,4960,15224,16.34,3110,-1085,539
-2228,5316,17840,16.29,-72,-358,-1635
-5512,4092,17592,16.29,-893,-453,-1699
-2984,4060,15196,16.44,-1853,-2097,-1073
-1032,3964,14368,16.44,-1371,-2590,-204
-380,5332,15820,16.39,-801,1069,-722
-680,4664,20552,16.48,-333,2877,495
-2272,2240,23204,16.34,-2205,602,975
-2304,2552,17908,16.44,-1269,749,-24
-288,2904,16036,16.39,-739,-991,718
-1088,3840,12556,16.39,925,-496,-240
-1704,3740,19308,16.44,-420,1173,-1462
-2020,2260,20444,16.34,-313,2306,-3231
-328,2888,17964,16.39,2219,-658,-2445
-2948,3188,14656,16.44,1267,-260,-1815
-1568,4708,14648,16.39,2732,-2020,321
-2388,4720,17588,16.39,584,1452,2141
-2196,3348,19820,16.34,-3094,2947,1030
-1460,4356,19248,16.34,-748,-1169,1133
-1280,3476,17376,16.39,375,-569,2079
-644,4172,14384,16.39,1693,998,710
-2888,4720,18092,16.34,1687,2004,-1257
-2500,4184,21444,16.39,-170,-68,-1111
-824,3700,17784,16.39,-545,-2624,-688
-1544,4120,14900,16.34,-1063,-114,-759
-1024,4960,14396,16.29,1029,701,-17
-1236,6324,17604,16.44,1164,1874,-202
-3040,6604,18204,16.34,1885,31,-343
-3412,4108,16188,16.39,-2334,1340,329
-3240,2848,14488,16.34,-2600,-42,435
-48,4796,14160,16.39,590,1204,463
-2116,5720,15976,16.44,2609,843,398
-1984,5632,18440,16.39,-854,-251,-870
-3284,3132,17800,16.29,-2079,-19,-939
-2780,4140,14940,16.44,-285,438,-1093
-1300,4016,14484,16.48,739,158,436
-2124,5416,15996,16.44,1102,2179,-26
-2020,5984,18248,16.29,1213,1922,2
-5624,2940,18908,16.44,-3364,1246,-100
-3716,3344,17760,16.44,-666,-187,142
-2544,3348,15424,16.29,-1304,35,1300
-2572,4360,13900,16.44,338,61,787
-1952,4936,19324,16.29,-124,-516,-41
-2008,3028,19164,16.39,-2352,710,-1261
-64,3912,16292,16.48,940,-289,-2248
-1996,3368,13548,16.44,-1649,-867,-566
-2312,3856,16000,16.39,-264,285,-581
-2516,4808,19824,16.39,1053,1885,1505
-4048,3680,20460,16.34,-656,406,366
-1304,2000,18184,16.29,244,-2881,1513
-3136,1936,14964,16.39,-278,1235,-416
-2144,3904,13636,16.34,2925,-394,-236
-2076,4400,18228,16.39,2043,478,-914
-996,4648,21112,16.39,-68,-3002,-2228
-1792,3260,19412,16.44,-1753,958,-996
-1232,4228,14780,16.29,-1552,1092,-1229
-952,4456,13580,16.29,-51,1166,21
-1804,5964,17060,16.34,920,2662,630
-552,5864,19032,16.29,1178,2013,1229
-960,3208,17524,16.48,-1350,1529,2984
-2264,2908,15764,16.34,-384,550,-608
-388,3716,14696,16.29,-85,405,658
-1944,4264,16412,16.39,1133,-87,300
-1896,4720,18228,16.44,590,-285,-1293
-4108,3504,17696,16.44,-2030,-7,-2316
-1488,3904,15760,16.39,-767,-181,-1707
-3036,3288,14460,16.39,417,-899,-4
-2976,4164,16780,16.34,1456,545,-510
-2544,4332,19696,16.48,2692,277,459
-3380,3384,18820,16.39,-1524,266,680
-2436,3192,19344,16.44,-1538,-294,321
-1328,3404,15032,16.44,-2354,-787,668
-3012,3888,16756,16.39,1126,-310,545
-4048,4304,17376,16.39,1880,77,-378
-2832,3360,20460,16.44,550,-1444,-1800
-1872,3044,16548,16.44,-612,-75,-1670
-2524,4708,15200,16.39,189,1420,-1313
-2120,4776,14992,16.39,1860,237,718
-4032,5440,16832,16.34,2104,570,376
-2616,7400,15328,16.44,878,361,1583
-2156,4276,16760,16.39,-4132,1908,2483
-2376,3412,13864,16.39,-1035,1494,-1043
-1496,4448,13408,16.29,-606,485,523
-2352,5168,16748,16.44,583,65,-474
-2004,4356,20712,16.34,101,129,-1072
-4064,3024,17688,16.29,-1862,1392,-1128
-2808,3244,16280,16.39,-664,-237,-1129
-2940,3928,13980,16.34,814,-966,776
-1836,5288,18348,16.44,-20,703,327
-4120,5120,20132,16.39,1961,1818,1255
-3528,3684,19176,16.34,1123,1487,954
-3412,3224,16852,16.34,-1051,897,372
-3644,2996,15796,16.39,-323,615,1530
-2116,4112,16868,16.39,2063,694,-255
-3524,4572,19256,16.34,-9,-990,-1902
-2444,4820,20812,16.39,-2464,267,-4276
-1248,3380,17692,16.34,1270,-1680,-2878
-2732,4652,13136,16.34,667,128,-1686
-2376,5208,14332,16.29,2074,1793,-860
-3528,5040,19232,16.29,1598,321,531
-4544,4876,19196,16.34,-2979,993,92
-4128,3176,18160,16.29,-856,-474,1097
-3020,3064,13780,16.44,-156,367,1380
-2804,4892,14928,16.25,2010,-107,1021
-4396,5164,17024,16.39,1755,-1827,-299
-3988,3520,25192,16.39,-976,-3024,-2436
-1572,4460,18244,16.34,-1134,-2316,-815
-3924,3900,14168,16.34,-485,1338,-1282
-3072,5092,14540,16.39,1328,979,402
-4788,5172,16712,16.39,1362,2145,1031
-5012,6452,20124,16.34,-603,-273,-521
-3552,3996,17156,16.44,-2241,-1545,1113
-3920,3520,13544,16.34,-1282,698,851
-1736,4216,12824,16.39,285,-980,252
-3760,4400,16860,16.39,547,2433,-580
-3776,5332,20776,16.34,-823,-816,-2057
-3400,3064,18184,16.34,-1584,-1259,-275
-2332,3652,15588,16.29,-895,219,-1087
-2116,4620,13800,16.25,135,721,457
-2256,5236,17480,16.29,143,1987,430
-3592,5264,18704,16.34,1061,2999,1149
-5088,2608,20064,16.34,-2280,2156,1742
-2708,2312,17616,16.29,-1792,-3059,641
-2200,3260,14916,16.29,-735,-2459,2221
-2212,3568,14684,16.34,-288,-1802,962
-2724,4452,19208,16.25,-1060,409,170
-456,3088,21088,16.39,-1652,-812,-437
216,2344,17176,16.34,490,-2910,866
996,2916,15184,16.39,236,-931,-179
-28,4008,16772,16.34,-12,-317,-289
-1888,3816,19600,16.39,96,1027,735
-256,3484,22344,16.29,-2702,268,-231
-1112,1372,16084,16.29,-1317,-1056,2354
472,1552,17620,16.29,-2297,1147,987
416,2740,15688,16.34,1518,671,132
576,2752,17932,16.2,3019,-570,-1264
-1032,3292,21304,16.34,2184,-2101,-5712
-396,1716,21352,16.34,-549,-1338,-2112
260,2848,15716,16.39,-344,510,-2174
-376,3908,14460,16.34,808,824,-524
1264,5392,17788,16.29,3193,617,-777
-800,5172,18472,16.29,2014,1475,-309
856,3920,19412,16.34,-1161,478,2575
-2204,3208,17440,16.29,1765,269,1398
1040,3476,16028,16.29,-1656,291,1035
-884,4728,14900,16.25,-674,-86,-1006
-808,5600,18364,16.29,-1144,419,-2657
-2336,4096,19520,16.34,-3782,1265,-1246
-24,4480,17028,16.34,533,1590,-1653
-872,4684,12940,16.29,766,-1506,500
-1476,5900,12936,16.34,1276,-2268,915
-568,5528,21184,16.25,143,-1161,2312
576,2976,24380,16.29,-3124,812,2839
192,3120,20256,16.34,-1146,-956,1224
-1500,2536,13984,16.39,-460,-1184,1482
1308,3884,14320,16.29,-42,-1221,502
1120,4500,20148,16.34,-281,-1284,-736
-164,1560,23148,16.25,-2877,1977,-2404
728,1424,17996,16.29,-1106,-172,-1351
-1300,2604,14608,16.34,106,398,-1199
-476,3540,14844,16.34,2162,462,-387
-184,3852,19648,16.39,1877,134,519
-728,2380,21332,16.25,-1706,-52,1359
-1288,684,17600,16.34,-1708,-1295,-307
-632,1780,14896,16.29,-1113,1531,115
-1600,3528,16636,16.34,204,-102,-463
-1160,3416,19864,16.25,18,-1182,-582
188,2252,21160,16.29,-908,-891,-1673
688,1484,18276,16.25,92,-372,-92
2196,2844,17424,16.29,413,597,-1581
1128,3648,14488,16.34,446,1009,-1206
-1412,4108,18736,16.2,1930,-256,273
1000,3380,19272,16.29,-1336,-299,154
1544,2304,17132,16.2,-1275,857,1543
116,2132,16984,16.29,-1322,1633,-834
-328,2840,15012,16.34,177,423,133
144,3080,15508,16.29,1974,-932,-1091
1520,3540,18672,16.34,594,-2268,-2220
648,1856,19332,16.25,-2635,375,-696
1528,2132,17588,16.29,-1258,1916,-1726
-200,2908,13692,16.25,783,1833,-362
468,3944,17736,16.29,2132,-298,-44
436,3092,20956,16.34,1871,762,402
-1684,1796,21564,16.29,-1607,1097,1395
-336,1368,17388,16.2,-622,-552,899
72,2276,14972,16.25,-300,-272,1181
264,3604,15228,16.25,1095,-251,524
272,3144,19756,16.2,1111,-694,-828
372,2788,18748,16.2,-1709,767,-1806
1828,1968,15360,16.25,-1945,544,-1108
64,2328,13172,16.2,-730,329,-1239
1296,3860,15976,16.29,1042,1017,-760
-136,3548,19108,16.25,1724,-161,447
-752,2056,22656,16.29,-1309,-2580,-248
-1244,1836,17472,16.2,-136,-1985,1510
452,2524,15172,16.25,680,-424,779
916,3512,13836,16.29,1665,956,846
-80,3376,16268,16.2,1038,208,-820
416,3972,20220,16.15,-750,-1364,-2054
