aX,aY,aZ,temperature,gX,gY,gZ
-1524,5580,18576,16.77,-1139,-1116,-967
-1808,5420,23124,16.77,-4482,302,-2592
-992,3844,15352,16.86,-230,1238,-1795
2156,5004,13880,16.72,1246,566,-568
1872,5964,14212,16.77,1367,488,1516
376,6584,19908,16.77,1797,-522,1313
872,6192,19856,16.77,-2158,705,225
-308,4692,15120,16.81,2,966,56
-652,4116,14796,16.77,-851,-136,750
-444,4800,13280,16.77,1403,-409,2720
-1060,5592,14488,16.72,223,-653,-1547
1728,6508,21012,16.81,-3577,495,-4592
2460,4220,20248,16.77,-75,599,530
-1440,3300,17780,16.77,-644,629,-640
-4640,4260,14896,16.81,-252,1069,-162
-972,6480,17912,16.81,1516,419,45
1476,7456,18176,16.81,3738,1539,2748
-216,4792,19540,16.72,2869,-1573,4848
-1208,2936,17484,16.77,-1370,-150,849
-720,3832,13504,16.86,350,-814,-2164
-728,6300,16440,16.72,971,-542,-1758
3660,6740,20084,16.72,1687,-3310,-896
-456,4996,16764,16.86,-294,-3375,82
-832,3976,16224,16.77,-2072,-549,-560
-2836,3632,14600,16.86,-1014,519,-936
308,6320,16936,16.77,301,98,139
-1304,6064,21036,16.81,3420,1843,991
-2824,3884,19808,16.81,500,-1371,2156
-452,3584,15748,16.81,-2578,846,-173
544,3728,13500,16.86,-265,-654,251
1104,5600,15372,16.86,-601,-149,-1054
580,6180,20316,16.77,2105,-2783,1082
-2240,4228,21784,16.77,-1388,-295,-1850
-368,3384,14144,16.86,-95,1134,-2233
1972,4580,13592,16.86,-918,400,-1904
1180,6376,12720,16.81,239,1759,64
1864,5012,19348,16.81,3316,253,1124
-2772,3640,22412,16.81,231,554,880
-920,3564,16428,16.91,-2942,396,-923
524,3840,13060,16.77,-1625,1564,21
2544,5200,12932,16.86,933,1387,58
120,5084,23108,16.86,685,-1037,-1722
-408,5232,21660,16.81,-338,997,-3397
3436,4828,14668,16.77,699,1464,-498
2340,4764,13140,16.86,626,398,-468
-400,5008,14976,16.86,147,-714,37
-176,5496,18004,16.81,1297,673,442
1184,6456,15872,16.81,-2373,1700,-29
424,5088,16712,16.81,-1637,1083,3553
-296,3816,12872,16.81,-174,314,1691
944,4144,14148,16.86,668,-873,2073
-36,5648,18556,16.77,1491,82,-1964
-616,6096,21972,16.86,-1545,-1291,-4266
32,3640,17016,16.86,1120,-705,-476
76,4308,17036,16.86,1239,12,-1254
-2272,4060,15912,16.81,1430,189,428
1424,6924,18836,16.81,1538,-567,1300
-1880,7212,18216,16.81,-922,3011,-2992
-1900,5824,15552,16.81,-1582,637,4484
-3244,4000,16608,16.81,-745,235,3584
-2172,4116,15556,16.81,49,-636,4194
4008,6456,18508,16.86,1876,2142,-538
3948,6408,18712,16.91,439,-2204,-1667
1052,4472,18936,16.86,-2491,-2393,-1058
-2656,3260,15892,16.77,-1980,-931,-2546
