aX,aY,aZ,temperature,gX,gY,gZ
1120,5048,17340,17.14,-895,5145,-2214
-832,4744,17824,17.05,465,1373,-638
-1732,4308,17064,17.24,-628,-945,-274
-700,4464,16576,17.09,-183,-696,-98
-584,4732,16844,17.09,-795,-878,-457
-1204,4324,16044,17.05,-252,-1374,76
-336,4712,17296,17.28,-73,-1052,-1288
-784,4876,15880,17.09,-979,-65,-978
-252,3952,17616,17.14,-1646,-497,679
928,4060,18324,17.14,-1197,490,-642
1816,4776,16976,17.19,-1555,-32,1206
412,3564,17072,17.09,517,1434,683
616,3964,16288,17.09,-751,1569,-370
28,3932,17748,17.05,-632,1852,-417
1560,4988,17648,17.19,1301,1151,205
1280,4240,16280,17.19,-216,64,849
384,3784,15188,17.19,228,-215,573
324,2912,18432,17.19,709,42,1173
372,3356,17484,17.05,-102,-151,1154
-180,3440,17564,17.14,-574,-544,1167
64,3736,17984,17.19,-468,632,-1124
-888,2748,18672,17.09,390,710,-2059
-476,2984,17716,17.09,-141,-499,-2769
-1636,2996,17776,17.28,219,-100,-1240
116,3312,17632,17.09,195,192,-824
-1048,3132,15740,17.14,202,301,-534
212,3572,16948,17.14,-816,90,186
-252,3676,17844,17.14,-774,77,375
-116,3572,17524,17.19,-150,-28,-192
-632,3580,17684,17.19,873,-525,-874
124,3888,18536,17.09,1185,121,98
-3216,2124,18392,17.14,493,-319,799
-2564,3292,17216,17.14,597,100,1626
-2616,4088,16244,17.19,-1413,166,648
-1896,5044,16396,17.19,-907,1165,748
476,5148,15472,17.14,-990,-115,1267
-1668,4072,17756,17.14,-296,127,1065
0,4156,17456,17.14,-1244,-114,-588
1012,3684,17380,17.14,417,-1206,-2020
-1876,2972,15560,17.14,3860,1845,-3590
920,4784,19188,17.14,-715,1341,-1993
-1260,4416,14048,17.19,630,471,561
916,5656,16492,17.14,839,491,-584
-864,4320,19240,17.24,-422,1615,750
-3720,2200,20920,17.14,-2757,378,2256
1944,3976,16372,17.05,-2879,-438,1619
860,2564,18076,17.19,-1139,-766,3827
12,2936,17100,17.19,975,-728,641
-1892,3276,20020,17.14,1217,-1241,-1711
-76,2596,19712,17.19,-888,-890,-3041
-1084,2136,15204,17.09,472,-118,-1640
-2216,2684,14388,17.19,-720,1647,-1291
-1008,2952,14376,17.14,-173,-217,103
432,5120,15660,17.14,1314,-370,184
360,3176,19236,17.09,-1414,262,-303
-3812,1628,18976,17.09,367,-713,1074
-1364,1876,17644,17.19,-791,-339,1451
-528,2444,13884,17.14,1057,25,2913
1404,3720,15780,17.14,1821,-232,444
1008,3444,16936,17.14,-710,-1079,-1270
324,2528,19016,17.14,300,997,-1202
3028,1864,16656,17.19,-2871,371,-1585
-2568,2440,13024,17.19,-538,289,-445
-552,3884,16004,17.19,943,-269,119
-924,3132,20972,17.19,2622,359,477
-684,1852,22044,17.14,-531,191,2008
2176,1836,13592,17.24,-1667,-1339,1981
-1024,2392,15108,17.14,473,391,952
-1164,2960,15380,17.19,1493,-135,481
-2996,2720,21304,17.19,93,-1546,-566
-1508,1672,24656,17.19,-1804,617,-2013
-700,1440,16996,17.09,635,-552,-70
-1924,2020,14524,17.24,-1452,1054,-1895
1932,3564,13884,17.24,652,241,-1001
180,3084,18256,17.14,1212,934,-1766
260,3152,21728,17.05,-2198,81,1053
-1456,2164,18508,17.14,-522,-1625,2218
-1368,2260,15556,17.24,394,640,1281
1608,3952,12540,17.09,-182,23,289
1196,3296,18008,17.19,2105,-643,-409
400,2228,21888,17.19,-2582,-984,-3348
808,3296,16652,17.09,-1217,232,-1776
1416,3256,14352,17.24,-549,2470,-1144
936,2728,12696,17.14,167,107,282
716,3788,17556,17.24,-158,760,525
1236,4472,17044,17.19,541,752,682
264,2116,19444,17.19,-257,480,-532
404,2136,18276,17.14,-1235,874,-376
-804,2304,13748,17.14,1272,-68,852
-268,3488,15584,17.14,1092,-559,-460
2276,3520,19620,17.19,-211,-336,-650
2552,3716,19092,17.28,377,1029,-2129
812,1772,17448,17.09,-1539,133,-1993
-1400,2776,13420,17.14,187,-543,-346
-776,4044,16612,17.14,853,-549,-365
-600,3084,20940,17.09,2661,160,853
-1000,1304,22952,17.19,-676,493,1022
1180,1576,17080,17.05,-2266,-668,233
-1388,2520,18012,17.14,775,-533,922
176,3708,15748,17.14,2068,-703,126
-1512,3320,18840,17.14,172,-1606,-853
-220,2620,20700,17.28,-738,-437,-781
-1040,1884,15940,17.19,-1116,-606,-630
540,3536,13208,17.19,-578,539,-704
960,3632,13524,17.14,105,-27,624
540,3868,18072,17.14,3176,573,-613
-132,4356,18976,17.14,638,-401,413
-664,3252,14984,17.19,1217,254,2334
-948,2188,16832,17.19,-3412,1408,637
2100,2856,14952,17.28,606,-118,1400
260,3452,15060,17.24,1561,-453,-185
3920,3940,19992,17.14,844,-766,-2080
524,3732,18112,17.19,-1530,-594,-1709
-464,2064,12808,17.19,-1802,-517,-1451
-3588,2312,16088,17.14,-2195,448,-1009
80,3644,18692,17.24,-894,-1236,-590
932,3312,20052,17.14,1493,-1654,327
-948,2144,20508,17.14,-1802,-122,142
-2596,1816,15752,17.24,-2609,-869,1657
-2148,832,17664,17.24,-325,1802,577
120,3352,15020,17.14,943,-497,999
-336,2876,18592,17.09,409,-559,-2431
-1808,2112,19904,17.19,-1520,-450,-2602
792,2312,16168,17.09,403,354,285
3196,2460,19324,17.24,239,1109,216
-712,2728,12716,17.24,1626,-565,932
912,4412,16932,17.28,643,1295,644
996,3516,20376,17.19,2342,1690,600
-360,1804,23632,17.19,1589,616,1407
2540,2156,18312,17.28,-3419,1167,388
320,2512,14836,17.19,-715,-232,60
-156,3620,15164,17.28,1506,-614,-766
-1004,3440,20008,17.24,1218,-1125,-1356
216,3668,20796,17.24,-126,-1179,-50
0,2324,15688,17.24,1028,-408,261
-860,2608,17712,17.19,-1221,1727,-1257
-1404,3464,16128,17.19,283,-146,833
-868,4248,17392,17.24,157,1245,-276
1160,4108,18376,17.24,772,1926,811
-2612,1660,22008,17.14,514,1537,1423
624,1152,17324,17.14,-1701,161,-102
-768,2328,14972,17.19,1,772,-120
-1144,3424,15980,17.19,456,430,-1456
-1440,3748,19112,17.19,1230,-1615,-752
-2012,2312,22500,17.24,-1198,-1176,-2118
108,2356,15408,17.24,716,-948,-218
-932,2944,15264,17.33,-1282,587,-1021
172,3500,13712,17.28,-583,-37,988
1336,3844,19804,17.28,1894,519,853
-4,4092,18196,17.24,3061,2396,2710
-3720,1204,22320,17.19,211,-818,2999
296,1488,18228,17.24,-2362,53,549
336,2808,12744,17.24,-800,637,141
-1184,3536,16608,17.19,935,-920,271
-500,3548,20436,17.24,413,-2172,639
-928,2856,18812,17.24,-1069,-2760,79
-1136,2128,14800,17.24,-15,-858,-1764
-964,2692,13644,17.24,-244,1890,-2100
408,3936,14984,17.33,407,-104,1382
-2200,3312,18452,17.19,1882,236,105
-276,4256,16696,17.28,-2136,1864,637
1412,2780,15320,17.28,203,1078,2227
936,1780,16680,17.28,-1452,840,223
1320,3096,14528,17.24,426,124,1538
608,3340,16592,17.19,1319,363,-21
