aX,aY,aZ,temperature,gX,gY,gZ
,-427,5364,-109,,,
2124,4284,16832,17.38,-414,849,160
2536,3740,17512,17.47,114,746,804
1940,4212,17504,17.47,-626,2254,895
1784,5292,17420,17.47,754,1283,-480
2816,3004,15432,17.38,-4690,-8092,2388
1228,2740,17644,17.47,-1932,4446,49
712,4184,21240,17.47,927,2086,-494
-2144,2784,14112,17.47,-1141,-1038,-1623
-184,2280,13968,17.47,-2561,3138,-65
-268,360,15268,17.57,-2677,1155,-2092
-1608,852,15764,17.47,-598,3614,1008
-2360,1056,17956,17.38,-1378,6003,-373
-2076,1096,19108,17.47,-811,-3379,1884
4488,1552,14716,17.47,2867,-12321,-559
612,2600,17856,17.52,-3554,16165,-1544
1352,1844,16012,17.42,-511,7488,-444
1484,1696,17352,17.52,-730,-965,-1093
884,2520,16976,17.52,-1929,15224,-2313
-3664,1748,15952,17.52,-1811,13671,-518
-3160,2628,17348,17.42,3229,-30090,1859
-1176,2300,18268,17.42,-228,2254,-126
304,1500,17900,17.42,1278,-781,143
384,1532,19124,17.42,1251,-59,3085
-196,2408,16424,17.42,-443,3748,1050
-120,1532,16356,17.38,-1173,321,773
188,1608,17024,17.42,-1494,1452,17
-48,2000,17432,17.38,-1335,-1441,541
-48,2960,16872,17.47,2,-129,-520
-136,2780,18044,17.52,1600,-4301,-165
884,2772,17816,17.42,128,108,1372
760,1848,17628,17.42,-41,4620,-1778
708,992,17116,17.42,-2672,1320,-242
1352,1320,16372,17.42,-1117,-141,1091
-956,1740,18608,17.42,-1414,148,83
-292,1532,17936,17.42,493,307,-367
864,2304,18040,17.42,-418,1107,1964
1628,3088,17540,17.52,2610,-4940,993
-4,368,17120,17.52,-811,1349,1190
696,0,19716,17.47,521,11003,675
692,384,16136,17.57,-1933,9174,703
-48,864,17436,17.42,1081,-3348,1598
-1168,2036,16400,17.47,2239,3358,1487
1512,1772,20292,17.38,2984,6984,-2009
-92,1280,21660,17.38,-165,2683,-2846
772,1372,16488,17.47,-285,2396,-2331
244,3180,15656,17.47,-819,3217,-3869
-2492,3660,15344,17.47,6864,-3582,-3598
-1280,3876,15688,17.47,3758,-1339,437
-5276,2124,20076,17.47,-808,1553,-231
380,3316,16108,17.47,-2225,4990,843
-3632,3432,15000,17.42,92,-1147,753
-56,3884,12552,17.42,-1596,-130,1607
-1664,4844,18912,17.52,-178,-599,-1008
-976,4284,22824,17.52,-1636,809,-1419
-2028,1892,18472,17.42,1796,1023,-551
372,4656,15456,17.52,3077,-1882,186
696,5036,13988,17.52,3292,-2371,1288
1008,6276,17020,17.52,1164,-375,2032
-1340,5696,20500,17.52,-2394,2901,-1413
-84,4676,14776,17.61,795,-1255,1082
-1752,3424,14432,17.42,-2466,944,906
-1896,3864,14096,17.47,-944,1560,1360
-1428,3560,20224,17.57,3539,1597,-1713
-3344,3200,22412,17.57,3607,-1519,-7113
2488,4612,18564,17.57,-201,-1114,1161
320,4364,15284,17.57,-541,381,-1525
-2328,3228,17348,17.42,-686,186,-213
1388,7220,16160,17.52,2420,-1494,-2132
3140,6392,17908,17.42,-1646,1147,2330
132,4400,16052,17.52,-1469,1037,1887
-2780,2948,14980,17.61,-2274,-883,1795
-320,4204,15232,17.52,-295,-454,2218
-2152,3456,14168,17.52,1220,688,152
-236,4404,18364,17.42,-886,136,-2002
2032,4564,16800,17.57,-1788,140,161
-488,3228,17148,17.57,-1208,2189,-2281
-28,3732,13528,17.47,457,740,-399
-2396,4668,16524,17.52,2056,-813,206
-344,4608,19260,17.52,2208,2548,527
-3784,3200,20120,17.42,-2322,862,909
-152,2772,15452,17.52,-3184,2647,-948
-884,3376,15496,17.52,-1119,2008,-187
-1448,3520,14120,17.57,1191,2272,-1438
-1980,4856,18428,17.47,-490,1155,700
-1836,4148,19952,17.47,-2352,715,-1480
-1640,2916,18344,17.47,-1571,-460,-623
-1328,3636,15280,17.47,-1028,497,112
-1272,3424,14388,17.57,476,-291,644
-1712,4268,20168,17.47,1510,-2044,-299
-1496,4172,22324,17.47,-1266,150,-655
-1164,2796,15216,17.57,-1232,-609,1662
-868,2900,16036,17.47,-1153,347,1334
-604,3164,13536,17.57,463,311,879
-936,3700,18040,17.52,673,1066,-963
-2160,3300,20956,17.52,136,941,-1571
-2396,2540,19704,17.52,-522,1124,-619
16,3068,16904,17.57,-1446,1655,-561
-788,2972,13380,17.52,1105,1367,-375
-1396,4828,18792,17.47,1654,95,-1735
-1340,4536,18604,17.66,-1416,548,1752
-420,3648,17508,17.52,315,243,2008
-708,1752,15216,17.52,-1535,-2128,949
-232,3496,17140,17.61,61,137,2383
280,4352,16360,17.52,2258,440,189
784,4748,20040,17.42,2401,336,-1450
-1000,3172,19268,17.52,-2172,51,-1924
-804,2740,15480,17.52,-2079,-62,-1952
-3480,2256,13528,17.47,-182,-300,372
-960,4744,16676,17.57,1728,984,-155
-20,4936,18996,17.57,2170,-1375,820
-1052,2128,22164,17.52,-210,-2518,1870
-2080,1848,17420,17.52,-1410,-406,612
-1168,2784,14508,17.57,-188,-854,527
-1976,3656,15644,17.61,1282,57,-453
-1316,3888,19720,17.61,-292,-66,-428
-184,3512,21396,17.61,-1719,448,-2296
-584,2284,17048,17.52,-406,161,-1324
-1208,2736,15656,17.52,-756,543,-434
-616,3632,16416,17.61,653,1559,-962
-2864,3464,18512,17.61,2493,258,251
