"time","dt","x","y","z","lat","long","alt",
2022,0.00093732,-2701164.1488,-4256318.5328,3883042.0712,37.7925,-122.4002,198.1602,
2,,-2701127.4902,-4256280.2795,3883096.3111,37.7932,-122.4001,190.3534,
26,,-2701142.1589,-4256332.9129,3883132.566,37.7932,-122.3999,253.8995,
22,,-2701111.639,-4256274.1033,3883097.1093,37.7933,-122.4,180.0099,
53,,-2701033.3326,-4256133.3075,3882966.3026,37.7932,-122.4001,-27.2477,
25.437,,-2700941.324,-4256012.4048,3882860.6788,37.7933,-122.3999,-211.6017,
,,-2700961.2414,-4256127.0005,3883004.2569,37.7937,-122.3994,-38.7216,
,,-2701158.4275,-4256318.9598,3883151.3377,37.7933,-122.4002,262.982,
,,-2701166.1463,-4256346.7407,3883160.4162,37.7932,-122.4001,290.3495,
,,-2701164.0545,-4256314.7056,3883140.5347,37.7932,-122.4002,255.906,
,,-2701183.2285,-4256372.4788,3883205.0813,37.7934,-122.4001,342.1266,
,,-2701101.4044,-4256289.2801,3883154.8574,37.7936,-122.3998,221.1915,
,,-2701042.8126,-4256199.9654,3883053.3095,37.7935,-122.3998,74.5604,
,,-2701114.9842,-4256245.1308,3883052.2776,37.7931,-122.4002,134.6221,
,,-2701159.4626,-4256327.4319,3883160.3668,37.7933,-122.4001,274.6061,
,,-2701133.7252,-4256288.2228,3883072.0409,37.793,-122.4001,183.4202,
,,-2701163.4329,-4256312.5941,3883134.3729,37.7932,-122.4002,250.4579,
,,-2701125.9091,-4256236.7226,3883044.1506,37.793,-122.4003,128.6577,
,,-2701136.7443,-4256328.5281,3883171.7867,37.7935,-122.3999,272.7164,
,,-2701022.2438,-4256161.9616,3883018.9503,37.7935,-122.3998,19.4388,
,,-2701079.5549,-4256220.8848,3883038.46,37.7932,-122.4,94.9756,
,,-2701100.2882,-4256234.504,3883053.0011,37.7932,-122.4001,121.7525,
,,-2701333.3364,-4256494.5629,3883267.2742,37.7928,-122.4008,525.2552,
,,-2701127.0871,-4256307.5961,3883143.8466,37.7934,-122.3999,237.5391,
,,-2701097.3081,-4256258.8852,3883120.6239,37.7935,-122.3999,178.1984,
,,-2701132.8509,-4256307.6377,3883163.9763,37.7935,-122.4,252.3432,
,,-2701165.8705,-4256269.8468,3883078.7256,37.793,-122.4005,188.8673,
,,-2701197.0176,-4256372.8096,3883122.1527,37.7927,-122.4002,297.3665,
,,-2701300.0527,-4256509.1519,3883228.7012,37.7925,-122.4004,497.2579,
,,-2701220.697,-4256421.5544,3883167.6508,37.7928,-122.4001,367.7978,
,,-2701229.3784,-4256436.5698,3883168.3363,37.7927,-122.4001,381.9124,
,,-2701220.0649,-4256435.9116,3883193.4901,37.7929,-122.4,392.9441,
,,-2700637.2842,-4261173.4283,3885769.2584,37.7908,-122.3656,4886.293,
,,-2701311.4189,-4256453.4092,3883191.4867,37.7925,-122.4008,442.0733,
,,-2701160.1545,-4256378.9323,3883161.1217,37.7931,-122.3998,309.7234,
,,-2701144.7751,-4256347.4915,3883122.1352,37.793,-122.3999,258.3423,
,,-2701278.8575,-4256446.8256,3883193.9983,37.7927,-122.4005,425.432,
,,-2701271.7446,-4256431.6585,3883169.6196,37.7926,-122.4006,397.3611,
,,-2701290.8009,-4256431.6908,3883195.5759,37.7927,-122.4007,421.3579,
,,-2701195.8635,-4256393.8102,3883187.4298,37.7931,-122.4001,350.8921,
,,-2701209.0486,-4256397.743,3883193.6391,37.7931,-122.4002,362.9041,
,,-2701315.6226,-4256439.1364,3883224.5003,37.7928,-122.4009,454.5612,
,,-2701245.2377,-4256388.4573,3883190.3447,37.793,-122.4006,370.0134,
,,-2701253.7717,-4256404.4761,3883174.3012,37.7928,-122.4006,374.4832,
,,-2701186.3523,-4256264.6045,3883128.0368,37.7933,-122.4008,224.2608,
,,-2701144.3682,-4256335.5066,3883132.7613,37.7931,-122.3999,256.6853,
,,-2701170.6404,-4256311.7491,3883128.1681,37.7931,-122.4003,249.1436,
,,-2701236.1562,-4256352.7107,3883183.9315,37.7932,-122.4007,338.3875,
,,-2701270.9455,-4256363.4714,3883147.4876,37.7927,-122.401,337.965,
,,-2701211.7434,-4256270.8473,3883120.531,37.7932,-122.401,234.5779,
,,-2701193.9622,-4256334.2175,3883156.8888,37.7932,-122.4004,291.6102,
,,-2701241.6716,-4256309.6133,3883130.5933,37.793,-122.401,279.2818,
,,-2701253.2447,-4256321.8801,3883121.2787,37.7928,-122.401,286.6587,
,,-2701278.0947,-4256312.422,3883151.8767,37.793,-122.4013,309.6215,
,,-2701553.9897,-4256511.5066,3883217.8222,37.7917,-122.4028,599.6918,
