14:31:27.536 ->  -1012,   3352,  16760, 19.54,   -901,  -1165,    397
14:31:27.653 ->   -436,   3140,  13888, 19.40,  -1075,   -276,   -768
14:31:27.754 ->   -892,   2932,  15512, 19.40,    349,  -1024,    243
14:31:27.853 ->   -316,   4876,  19708, 19.45,   1490,  -1096,  -2362
14:31:27.952 ->  -3204,   2880,  22264, 19.40,   -739,    765,   -289
14:31:28.063 ->   -916,   2492,  17788, 19.49,  -2394,  -1288,   1544
14:31:28.151 ->   -236,   2936,  14444, 19.35,   -717,    114,   -739
14:31:28.273 ->    284,   3716,  13816, 19.35,    813,    -74,    228
14:31:28.375 ->  -1828,   3392,  18464, 19.40,   1637,    -82,  -1266
14:31:28.466 ->  -2492,   2512,  20824, 19.49,  -2288,  -1200,  -3510
14:31:28.590 ->  -1956,   2980,  18240, 19.40,   -556,    216,  -1785
14:31:28.678 ->   1244,   3660,  15268, 19.35,  -1768,    772,  -1649
14:31:28.779 ->   -568,   3764,  13688, 19.35,    675,    -55,    178
14:31:28.882 ->     12,   4520,  17776, 19.40,   2010,     69,    843
14:31:28.980 ->   -544,   4792,  15524, 19.45,    902,   1734,    969
14:31:29.075 ->  -1432,   3448,  19220, 19.35,   -918,    304,   1819
14:31:29.171 ->   -208,   2888,  15276, 19.40,  -1576,    393,    178
14:31:29.278 ->    296,   3752,  12892, 19.31,    525,    794,   1043
14:31:29.410 ->    956,   4480,  15924, 19.31,   1396,    206,   -237
14:31:29.504 ->   1372,   4460,  17572, 19.31,   -301,   -233,  -1197
14:31:29.598 ->  -2048,   3784,  18732, 19.31,  -1082,    833,  -1337
14:31:29.742 ->    740,   3312,  15200, 19.35,  -3665,   1344,    -38
14:31:29.787 ->   -816,   3248,  14292, 19.45,   -370,    156,   1375
14:31:29.935 ->   -448,   4396,  17308, 19.31,   1457,    240,    954
14:31:30.018 ->   -256,   4092,  17784, 19.26,   1766,    904,   1716
14:31:30.113 ->  -2560,   3080,  17940, 19.35,   -995,   1747,    578
14:31:30.240 ->    828,   3200,  16312, 19.31,  -1967,      5,    847
14:31:30.334 ->  -1464,   3016,  15336, 19.31,   1017,  -1585,   2057
14:31:30.416 ->  -1060,   3688,  14852, 19.40,   1887,  -1679,   1356
14:31:30.537 ->  -2432,   4048,  20464, 19.26,   1524,    -86,   1023
14:31:30.638 ->   1884,   3944,  19124, 19.26,   -872,    738,  -1681
14:31:30.720 ->   -500,   2696,  15172, 19.31,  -1091,   -125,   -867
14:31:30.855 ->  -2020,   3228,  15264, 19.31,   -686,    605,  -1004
14:31:30.938 ->   -164,   4336,  16696, 19.35,    886,     12,   -187
14:31:31.055 ->  -2616,   4308,  17052, 19.40,   1572,   -185,   1214
14:31:31.135 ->  -2896,   2172,  20252, 19.21,  -2028,   1777,    675
14:31:31.238 ->   -908,   2512,  16960, 19.21,  -1489,  -2086,   2443
14:31:31.355 ->  -1956,   2240,  16924, 19.26,    107,   -631,    369
14:31:31.472 ->  -3236,   2932,  17148, 19.26,   1459,   -642,    431
14:31:31.559 ->  -3356,   2744,  19464, 19.31,   3008,   -110,  -1013
14:31:31.672 ->    164,   4036,  20068, 19.26,  -1962,    919,   -998
14:31:31.756 ->    608,   2720,  16384, 19.26,  -1433,    542,   -738
14:31:31.874 ->     24,   3180,  15144, 19.31,   -561,    -18,   -898
14:31:31.963 ->  -1332,   3024,  17572, 19.17,    433,    739,  -1038
14:31:32.056 ->  -2724,   3320,  19540, 19.21,   2396,   -599,   1067
14:31:32.174 ->  -2096,   2052,  21804, 19.21,    183,  -1163,   1281
14:31:32.309 ->  -3588,   1108,  17088, 19.17,  -1494,   -992,    619
14:31:32.407 ->  -2572,   1044,  17744, 19.12,  -2286,   1273,    252
14:31:32.506 ->  -1224,   2888,  13420, 19.21,    210,    618,   1107
14:31:32.606 ->  -1088,   3192,  17704, 19.21,    739,   -519,   -748
14:31:32.691 ->  -1296,   2392,  21456, 19.26,  -1458,     51,  -2098
14:31:32.809 ->  -1280,   1492,  19524, 19.26,     38,   -109,  -1055
14:31:32.907 ->    896,   3316,  14200, 19.21,   -233,    728,  -1450
14:31:32.993 ->    -32,   3328,  12564, 19.12,    535,    382,   1083
14:31:33.101 ->   -360,   4684,  17760, 19.17,   1078,   1081,    626
14:31:33.207 ->   -132,   3816,  18888, 19.26,     24,    963,    899
14:31:33.306 ->  -1172,   3048,  19556, 19.31,  -2092,   -433,   1505
14:31:33.420 ->   -180,   2808,  14968, 19.17,  -2561,   1083,   1192
14:31:33.507 ->     64,   2476,  11636, 19.17,   -309,   -215,   2594
14:31:33.607 ->    196,   3368,  15224, 19.17,   1668,    969,    226
14:31:33.710 ->   1000,   4008,  20796, 19.21,   1836,    123,   -487
14:31:33.827 ->    196,   3128,  18912, 19.31,   -999,    759,  -1475
14:31:33.944 ->    916,   2568,  15724, 19.17,  -1349,    -97,  -1451
14:31:34.041 ->  -2256,   1712,  14276, 19.21,    140,   -250,    160
14:31:34.157 ->  -1316,   3488,  17020, 19.21,   2285,    236,    511
14:31:34.240 ->  -3072,   2744,  21884, 19.17,   1834,   -111,   1517
14:31:34.342 ->  -1840,   1892,  20472, 19.17,    432,   -515,   2020
14:31:34.468 ->   -156,    984,  16384, 19.21,  -1974,  -1484,     -8
14:31:34.542 ->   -668,   1364,  15912, 19.26,   -851,   -352,    260
14:31:34.661 ->     28,   3068,  17556, 19.26,    687,  -1807,   1226
14:31:34.743 ->   -868,   2472,  20204, 19.12,   2309,  -2263,   -723
14:31:34.844 ->  -4092,   1804,  22960, 19.26,  -1096,   -158,   -887
14:31:34.985 ->   -692,    772,  15356, 19.26,   -674,   -276,    690
14:31:35.085 ->    172,   2228,  15068, 19.12,    -39,   1162,  -2012
14:31:35.161 ->   1892,   3520,  16816, 19.17,    -26,   2128,   -369
14:31:35.249 ->   1696,   3480,  18488, 19.21,   3507,    214,   -197
14:31:35.382 ->  -1464,   2328,  20060, 19.21,   -619,    582,   1210
14:31:35.464 ->    108,   2668,  16312, 19.17,  -1213,   -673,   2446
14:31:35.607 ->     92,   2336,  14908, 19.17,  -1589,   1270,     51
14:31:35.706 ->   1536,   3976,  13852, 19.12,   -194,   -737,   -138
14:31:35.798 ->    700,   2180,  17676, 19.17,   1099,   -732,  -1623
14:31:35.880 ->     80,   2088,  20872, 19.21,  -2261,   1004,  -1785
14:31:35.988 ->  -1132,   1568,  16600, 19.21,    864,    585,  -1081
14:31:36.085 ->    -24,   3500,  14068, 19.07,    439,   1548,  -1640
14:31:36.192 ->    772,   3612,  14084, 19.21,    357,    659,    979
14:31:36.296 ->   1344,   3604,  19388, 19.12,   2287,     33,    326
14:31:36.421 ->  -1428,   2172,  20920, 19.21,   -815,  -1036,    179
14:31:36.527 ->  -1544,   2776,  16468, 19.21,   -735,    -71,   1904
14:31:36.610 ->   -960,   2360,  13296, 19.07,  -1513,   1778,   1089
14:31:36.693 ->   2652,   3480,  14988, 19.12,    764,    922,    612
14:31:36.814 ->   -160,   2784,  18884, 19.21,   3139,   -715,  -1334
14:31:36.929 ->  -1752,   2044,  22948, 19.17,    213,    330,  -2417
14:31:37.010 ->   -872,   2808,  17468, 19.17,  -1233,    356,  -1220
14:31:37.108 ->   2344,   2764,  15868, 19.21,  -2578,    355,  -1175
14:31:37.224 ->   1500,   3584,  14116, 19.21,    -74,    306,  -1400
14:31:37.351 ->   -692,   3648,  19436, 19.26,   1855,    732,   -939
14:31:37.433 ->   -944,   3700,  18640, 19.21,   -451,   2488,   -827
14:31:37.525 ->   -172,   3084,  17716, 19.17,  -2323,    469,   1859
14:31:37.660 ->   1048,   3236,  15388, 19.21,   -773,    315,   2301
14:31:37.763 ->   1684,   3304,  13468, 19.21,    113,  -1060,   2432
14:31:37.847 ->   2348,   3824,  17268, 19.17,   1593,  -1448,    380
14:31:37.958 ->   3412,   3252,  16888, 19.21,   -686,   -456,  -3770
14:31:38.048 ->    432,   3776,  19348, 19.21,  -2273,   1393,  -1816
14:31:38.144 ->   -724,   2624,  16756, 19.17,  -1184,    279,  -2005
14:31:38.261 ->  -2672,   2428,  15500, 19.26,   1254,   -623,    -97
14:31:38.344 ->  -1164,   4628,  18064, 19.21,   1989,   -327,   -173
14:31:38.463 ->     16,   4928,  17300, 19.21,   1734,   1726,    832
14:31:38.596 ->   -332,   3400,  18696, 19.26,   -600,    523,   1028
14:31:38.682 ->   1512,   2360,  15416, 19.31,  -2712,   2431,    177
14:31:38.761 ->  -2096,   2184,  15736, 19.26,    431,  -1399,   1802
14:31:38.877 ->  -1020,   3544,  15800, 19.17,   1249,  -1702,    437
14:31:38.994 ->   -480,   4412,  20728, 19.21,   2265,  -2475,  -1239
14:31:39.094 ->    264,   3320,  20088, 19.21,     51,    490,     -3
14:31:39.171 ->    856,   2312,  14840, 19.35,  -1103,    853,   -207
14:31:39.278 ->  -3304,   2380,  14096, 19.21,     46,    387,   -855
14:31:39.411 ->  -1488,   4064,  17020, 19.26,    612,  -1089,    651
14:31:39.521 ->  -1332,   3676,  20272, 19.21,   2805,   -687,    819
14:31:39.597 ->  -2128,   2300,  22224, 19.26,   -319,  -1197,   1653
14:31:39.702 ->   -504,   2004,  16340, 19.26,  -1735,   -636,    840
14:31:39.809 ->   -708,   2656,  14032, 19.31,  -1759,    -25,    570
14:31:39.894 ->   -188,   3624,  15424, 19.26,   -413,    119,  -1476
14:31:40.009 ->  -3212,   2968,  18620, 19.31,    588,    212,  -2651
14:31:40.111 ->  -1048,   2644,  21152, 19.21,   -181,    780,  -2636
14:31:40.211 ->   1164,   2536,  17960, 19.26,   -395,   -297,   -763
14:31:40.324 ->   -228,   3220,  14204, 19.26,   -434,   1841,  -1415
14:31:40.410 ->    596,   3836,  13332, 19.21,   -100,    172,   1292
14:31:40.545 ->    892,   4164,  18208, 19.26,   1003,  -1047,    499
14:31:40.643 ->   1692,   4600,  18420, 19.17,  -2005,    984,   -320
14:31:40.727 ->   -588,   3240,  17748, 19.31,  -1806,    362,   1921
14:31:40.828 ->  -1100,   2620,  16108, 19.26,  -1956,    920,    498
14:31:40.954 ->    496,   3332,  12944, 19.26,    884,    565,   1471
14:31:41.037 ->   1628,   3888,  17508, 19.21,   1592,    485,  -1362
14:31:41.145 ->    804,   3024,  21988, 19.21,   -287,    851,  -3501
14:31:41.229 ->    480,   3020,  18288, 19.35,   -301,    163,   -226
14:31:41.357 ->   3000,   3620,  13984, 19.31,   -822,   -788,   -380
14:31:41.446 ->   1608,   3556,  12944, 19.26,    868,   -388,   1090
14:31:41.538 ->   1352,   4596,  17072, 19.26,   1265,   1082,    -83
14:31:41.645 ->    952,   5264,  17756, 19.12,   -894,   1973,   1661
14:31:41.764 ->    940,   4320,  17476, 19.26,   -726,   1382,   1462
14:31:41.863 ->   -816,   2636,  14540, 19.31,  -1934,   1338,   1224
14:31:41.983 ->   2624,   3884,  13080, 19.26,    355,   -139,   1943
14:31:42.083 ->   2792,   4112,  16692, 19.31,   1345,   -964,  -1140
14:31:42.180 ->   2552,   3684,  19660, 19.26,   -892,   -916,  -3699
14:31:42.263 ->   -300,   3316,  19568, 19.31,   -378,    720,   -996
14:31:42.384 ->    980,   2896,  15856, 19.31,  -1315,    -98,  -1297
14:31:42.481 ->   -816,   2868,  14476, 19.35,    995,   -532,    553
14:31:42.584 ->   -376,   4640,  16100, 19.21,   1211,   -673,    834
14:31:42.699 ->    948,   4744,  17912, 19.21,   1293,   1438,   1537
14:31:42.793 ->  -2044,   2864,  20284, 19.26,  -1180,   1038,   2554
14:31:42.882 ->   -100,   2188,  16068, 19.17,  -1937,    353,   1223
14:31:42.987 ->    492,   2512,  15848, 19.12,    398,   -471,   1856
14:31:43.106 ->    456,   3816,  16200, 19.26,   1048,   -541,   -172
14:31:43.186 ->  -1284,   4088,  20460, 19.35,   1328,   -916,    152
14:31:43.314 ->    900,   4384,  19748, 19.12,   -407,    666,   -705
14:31:43.405 ->   1204,   2480,  16908, 19.21,   -281,    687,   -633
14:31:43.504 ->  -1836,   2172,  14752, 19.21,   -265,  -1953,   1726
14:31:43.630 ->   -344,   3856,  16832, 19.26,    901,   -449,    606
14:31:43.716 ->   -152,   3696,  17844, 19.21,   2240,    609,   -255
14:31:43.808 ->  -1592,   3420,  21280, 19.26,  -2708,    -57,   -327
14:31:43.937 ->  -3800,   1296,  18556, 19.21,  -3677,  -2345,   3368
14:31:44.043 ->  -1268,   2392,  17960, 19.21,  -2239,   1606,  -1228
