aX,aY,aZ,temperature,gX,gY,gZ
3404,3976,17292,17.89,-1109,1771,-1055
1972,3728,15888,17.94,-209,236,-664
1756,3732,16132,17.89,44,2034,-63
1652,3856,16948,17.8,-177,814,492
1368,3768,17608,17.89,-515,1131,-450
672,3972,18600,17.8,536,1983,-1139
1876,4640,16712,17.94,1232,592,-1569
236,3360,17648,17.8,-332,1807,-1222
688,3824,13276,17.94,-1534,288,-689
-44,4360,17916,17.89,-1126,346,-462
64,4200,17232,17.99,405,893,-1399
780,4292,17360,17.94,-362,967,-1045
772,4392,16872,17.89,675,-467,-986
384,5064,17980,17.94,676,-184,693
2612,5384,15672,17.94,-276,-618,-1196
1124,5800,16700,17.89,-697,726,-1011
1312,5688,16684,18.04,1289,708,1203
-948,3716,17560,17.94,-1051,166,1921
-2816,3796,17256,17.89,-69,-678,770
-984,4892,14956,17.94,-709,-261,322
-1864,4844,16828,17.8,1546,644,1934
592,5612,18408,17.8,-363,-256,-1149
24,4024,18872,17.85,-708,-1316,-1609
1356,3264,17412,17.99,1248,1480,-139
528,3676,17056,17.85,-834,1140,-701
-1652,3804,14148,17.85,1063,-446,1186
-332,4960,15152,17.89,-1219,312,897
1460,5580,19272,17.89,-38,-1213,772
-1248,3804,21836,17.94,599,-1577,7
-2548,3484,16468,17.94,657,1122,4695
-436,1604,16500,17.99,-699,-472,1826
-796,3684,17440,17.85,268,2297,676
-1564,4732,15096,17.94,2213,1683,-552
-304,5028,19492,17.89,1483,-1512,-1751
236,4700,19996,17.89,-1563,-2008,-2049
608,2524,14132,17.94,-1128,924,144
360,4224,16280,17.94,-416,1323,-2956
488,5540,14052,17.99,507,-2088,-1286
564,6204,19140,17.94,240,-882,-654
-1456,5244,17192,17.94,1596,2400,-3
-2940,3432,18452,17.89,-607,538,2607
-2328,2636,16888,17.85,-1213,-792,2122
-1624,3636,16484,17.89,-107,-519,1758
-84,5080,18812,17.94,3281,-2375,-1452
-36,3616,13912,17.99,34,-1549,-1440
4888,5372,19960,17.89,-1670,1536,-261
1480,3480,16100,17.94,-1316,120,-1379
-2840,3468,13776,17.8,815,5,314
2444,6240,17896,17.85,1782,1172,-93
-448,5208,18328,17.94,1930,1391,1472
-1596,4480,18896,17.89,1218,-106,3394
436,2968,14308,17.85,-592,399,1509
-892,3832,13328,17.99,671,-97,776
956,4752,15320,17.89,2094,-792,-1665
