"time","dt","x","y","z","lat","long","alt",
2022,0.00093732,-2700909.1984,-4256311.0796,3882993.872,37.793,-122.3978,55.7003,
2,,-2700903.6848,-4256370.2054,3883021.2692,37.7929,-122.3974,109.6057,
26,,-2700924.8634,-4256365.4135,3883004.2793,37.7927,-122.3976,104.9637,
22,,-2700893.5989,-4256300.1909,3883016.0899,37.7932,-122.3977,55.4456,
9,,-2700893.3427,-4256303.5195,3883019.9494,37.7932,-122.3977,59.9231,
7.437,,-2700926.0805,-4256256.5546,3883007.1557,37.7933,-122.3983,34.6081,
,,-2700874.441,-4256329.602,3883027.3207,37.7932,-122.3974,73.8405,
,,-2700890.4356,-4256340.156,3882999.1214,37.7929,-122.3975,70.3737,
,,-2700915.6705,-4256353.2249,3883032.244,37.793,-122.3976,110.076,
,,-2700938.7069,-4256379.2053,3883020.9694,37.7927,-122.3977,130.2552,
,,-2700888.8499,-4256388.2963,3883027.9317,37.7929,-122.3971,119.4784,
,,-2700929.2447,-4256410.6779,3883025.9872,37.7927,-122.3974,150.3235,
,,-2700957.9961,-4256382.2561,3883021.7161,37.7927,-122.3978,140.9155,
,,-2700924.6154,-4256387.1266,3883044.3824,37.7929,-122.3975,143.922,
,,-2700943.7466,-4256351.046,3883009.5485,37.7928,-122.3979,106.6015,
,,-2700948.6603,-4256345.358,3883006.031,37.7928,-122.398,102.7312,
,,-2701000.2131,-4256338.5399,3883031.4848,37.7928,-122.3985,135.6081,
,,-2700990.8725,-4256421.8333,3883046.9374,37.7926,-122.3979,196.6985,
,,-2700956.5179,-4256414.9573,3883002.0668,37.7924,-122.3976,150.0678,
,,-2700958.1384,-4256342.4452,3883023.679,37.7929,-122.3981,115.6156,
,,-2700958.4306,-4256358.7719,3883006.3113,37.7927,-122.398,115.99,
,,-2700994.7181,-4256407.5002,3883048.115,37.7926,-122.398,189.4848,
,,-2700959.1171,-4256338.3441,3883009.2897,37.7928,-122.3981,104.4758,
,,-2700999.5848,-4256362.1804,3883028.8757,37.7927,-122.3984,149.5168,
,,-2701013.4682,-4256356.229,3883062.1186,37.7929,-122.3985,171.7957,
,,-2700992.5392,-4256419.6476,3883035.3827,37.7925,-122.398,188.865,
,,-2700982.2765,-4256393.5607,3883029.6647,37.7926,-122.398,163.6097,
,,-2701010.7886,-4256381.4413,3883057.8496,37.7928,-122.3984,184.8674,
,,-2700976.413,-4256350.9516,3883067.4927,37.7931,-122.3982,155.8784,
,,-2700987.1029,-4256400.3457,3883012.3081,37.7924,-122.398,159.5442,
,,-2701000.5261,-4256361.8449,3883006.9297,37.7925,-122.3984,136.2429,
,,-2701005.1349,-4256351.8288,3882998.5138,37.7925,-122.3985,126.354,
,,-2700996.7729,-4256303.0889,3883046.3931,37.7931,-122.3987,119.6337,
,,-2701006.0992,-4256326.4774,3883055.4275,37.793,-122.3986,144.7242,
,,-2701005.3797,-4256341.9096,3883023.2424,37.7927,-122.3985,134.993,
,,-2700998.4234,-4256380.8811,3882978.4164,37.7923,-122.3982,130.5811,
,,-2700978.7585,-4256394.3299,3882948.5609,37.792,-122.398,112.9328,
,,-2700981.1586,-4256424.5896,3882934.8639,37.7918,-122.3978,125.7461,
