"time","dt","x","y","z","lat","long","alt",
2022,0.00093732,-2701113.026,-4256414.04,3882868.0613,37.791,-122.3991,133.6062,
2,,-2701150.5795,-4256434.9609,3882884.2876,37.7909,-122.3994,173.4098,
26,,-2701124.3239,-4256438.7935,3882887.2782,37.791,-122.3991,166.6822,
22,,-2701115.2962,-4256432.8821,3882885.5231,37.791,-122.399,157.8399,
46,,-2701162.2115,-4256432.3107,3882916.6302,37.7911,-122.3995,196.3858,
25.437,,-2701197.7385,-4256502.1837,3882959.3545,37.791,-122.3994,284.2315,
,,-2701228.0913,-4256469.8464,3882961.4746,37.791,-122.3999,276.8066,
,,-2701272.8057,-4256532.3611,3883017.233,37.791,-122.4,371.6199,
,,-2701262.5886,-4256502.5331,3883040.2756,37.7913,-122.4,361.5116,
,,-2701337.2319,-4256580.1243,3883120.9617,37.7913,-122.4003,494.3328,
,,-2701305.548,-4256565.8905,3883117.6812,37.7915,-122.4001,469.4092,
,,-2701334.4517,-4256570.078,3883084.3863,37.7911,-122.4003,464.0395,
,,-2701327.1811,-4256549.7187,3883097.587,37.7913,-122.4004,455.4657,
,,-2701205.0534,-4256406.2124,3883060.5607,37.7921,-122.4001,285.3123,
,,-2701191.7011,-4256362.9628,3883022.8016,37.7921,-122.4002,227.6628,
,,-2701178.8238,-4256398.0284,3883095.5725,37.7925,-122.3999,290.2006,
,,-2701175.6164,-4256363.2335,3883091.869,37.7926,-122.4001,263.3573,
,,-2701225.3735,-4256437.3762,3883016.2604,37.7916,-122.4001,287.5627,
,,-2701228.0702,-4256466.3664,3883011.7985,37.7914,-122.3999,305.3134,
,,-2701175.1108,-4256382.3354,3883044.1551,37.7922,-122.3999,246.6491,
,,-2701141.7612,-4256387.0543,3883020.2583,37.7921,-122.3996,221.0326,
,,-2701144.1782,-4256362.8028,3882999.1782,37.7921,-122.3998,192.9569,
,,-2701114.4015,-4256372.1158,3883001.2253,37.7921,-122.3994,187.817,
,,-2701141.1683,-4256355.4579,3882997.0102,37.7921,-122.3998,185.4533,
,,-2701062.4435,-4256293.2772,3882958.1589,37.7923,-122.3994,86.8227,
,,-2701149.5884,-4256410.3336,3883011.404,37.7919,-122.3995,234.4535,
,,-2701140.9826,-4256419.9073,3883017.035,37.7919,-122.3994,240.648,
,,-2701177.6708,-4256405.7867,3882993.4364,37.7917,-122.3998,232.3001,
,,-2701105.1688,-4256327.303,3882946.8321,37.792,-122.3996,120.6754,
,,-2701193.6278,-4256328.7493,3882950.9303,37.7917,-122.4004,161.6083,
,,-2701164.8441,-4256332.6334,3882922.2875,37.7916,-122.4001,134.4596,
,,-2701211.064,-4256407.7398,3883034.8505,37.7919,-122.4001,273.1213,
,,-2701128.4747,-4256315.9944,3883048.02,37.7927,-122.3999,185.0065,
,,-2701216.6857,-4256374.1732,3883060.3466,37.7922,-122.4004,268.7294,
,,-2701181.8731,-4256349.0383,3883047.1452,37.7924,-122.4002,229.1284,
,,-2701194.8246,-4256364.3395,3883067.8694,37.7924,-122.4002,257.5214,
,,-2701227.1106,-4256376.7346,3883014.6995,37.7919,-122.4005,246.8803,
,,-2701173.9955,-4256323.9156,3882955.4753,37.7918,-122.4003,152.8552,
,,-2701143.3238,-4256299.8224,3882927.707,37.7918,-122.4001,106.776,
,,-2701185.0092,-4256324.5133,3882951.5629,37.7918,-122.4004,155.5201,
,,-2701152.6996,-4256293.0432,3882949.7834,37.792,-122.4003,119.7511,
,,-2701167.3862,-4256292.0066,3882996.6072,37.7923,-122.4004,153.9718,
,,-2701162.6678,-4256309.3405,3882961.979,37.792,-122.4003,142.3192,
,,-2701188.7271,-4256327.7526,3882943.3049,37.7917,-122.4004,154.1953,
,,-2701168.5139,-4256327.2246,3882960.0097,37.7919,-122.4002,155.5206,
,,-2701173.3095,-4256364.0717,3883031.7353,37.7922,-122.4,226.0896,
,,-2701128.7295,-4256371.9843,3883008.2488,37.7921,-122.3995,198.1001,
,,-2701102.4374,-4256348.1431,3883008.7307,37.7923,-122.3994,171.3553,
,,-2701156.4477,-4256424.5807,3882984.4614,37.7916,-122.3995,230.3536,
,,-2701177.8159,-4256467.2184,3883006.5501,37.7915,-122.3994,281.3865,
,,-2701058.0881,-4256339.9797,3882950.1033,37.7921,-122.3991,111.2031,
,,-2701074.1239,-4256346.4883,3882918.7375,37.7918,-122.3992,103.115,
,,-2701056.8889,-4256330.9742,3882928.6126,37.792,-122.3991,91.5173,
,,-2701027.9304,-4256292.6139,3882905.3193,37.7921,-122.3991,39.3863,
,,-2701144.7144,-4256405.7809,3882948.0479,37.7915,-122.3995,190.5279,
,,-2701103.8448,-4256319.8189,3882940.2466,37.792,-122.3996,111.0856,
,,-2701112.7766,-4256377.279,3882968.9367,37.7919,-122.3994,170.7877,
,,-2701000.6479,-4256267.4019,3882914.4716,37.7923,-122.399,16.6208,
,,-2700987.4811,-4256290.8162,3882901.1647,37.7922,-122.3987,18.514,
,,-2701112.7063,-4256354.6914,3883062.1294,37.7926,-122.3995,212.7954,
,,-2701038.8976,-4256316.0419,3883014.9284,37.7927,-122.399,126.8306,
,,-2701030.6761,-4256323.4839,3882996.8656,37.7926,-122.3989,117.2459,
,,-2701124.3172,-4256363.7448,3882950.4213,37.7918,-122.3996,155.2978,
,,-2701103.3321,-4256411.7702,3883046.8138,37.7923,-122.3991,237.525,
,,-2701140.6008,-4256352.7267,3883038.7035,37.7924,-122.3998,208.9402,
,,-2701166.4711,-4256429.981,3882978.9441,37.7915,-122.3996,234.8202,
,,-2701114.3325,-4256454.6168,3883056.5053,37.7921,-122.3989,276.7102,
,,-2701101.9607,-4256444.1073,3883077.8173,37.7924,-122.3989,277.5196,
,,-2701097.2373,-4256497.5966,3883020.4581,37.7917,-122.3985,276.0598,
,,-2701155.8576,-4256372.9888,3883009.8952,37.7921,-122.3998,211.266,
,,-2701130.2405,-4256346.3056,3882956.9332,37.7919,-122.3997,150.1604,
,,-2701146.899,-4256373.1002,3882992.4843,37.792,-122.3997,196.8777,
