timestamp,aX,aY,aZ,temperature,gX,gY,gZ
15:23:11.229, -944,-368,13472,26.51,1184,-1666,232
15:23:11.338, -888,584,16672,26.32,1094,-1761,1421
15:23:11.442,-1236,1884,19236,26.46,548,321,711
15:23:11.519,-2148,3212,18036,26.46,-306,2648,-278
15:23:11.628,-1008,2556,16140,26.46,-235,2397,1460
15:23:11.742,  -40,1844,14196,26.46,-195,-291,1615
15:23:11.847,  248,1784,15024,26.41,-40,-2356,1152
15:23:11.923, -100,2024,18792,26.32,60,-1499,-573
15:23:12.030,-2620,3156,20684,26.37,1316,1167,2143
15:23:12.131,-2876,1708,18408,26.37,-1129,2421,548
15:23:12.236,-1848,672,14868,26.27,-2194,1032,-2038
15:23:12.351, -648,-48,13588,26.46,-1122,-2968,-773
15:23:12.465, -820,148,17028,26.32,246,-3081,1569
15:23:12.540, -412,376,19696,26.32,386,-243,368
15:23:12.654,-1260,2336,17028,26.46,-788,1267,-568
15:23:12.761, -768,1744,14700,26.27,-1146,2102,-866
15:23:12.870, -364,464,13596,26.37,-2299,-699,-1307
15:23:12.981,  -76,96,15068,26.32,299,-365,-2460
15:23:13.086, -912,1280,19764,26.32,278,-273,-2997
15:23:13.186,-1860,1112,20680,26.37,-9,1746,-3018
15:23:13.262,-1792,264,18064,26.27,-1290,746,-2787
15:23:13.372, -688,208,13272,26.27,683,322,-508
15:23:13.477,   24,72,13348,26.41,1359,-2386,745
15:23:13.591, -640,696,17488,26.37,324,-1849,943
15:23:13.700, -960,1828,19396,26.37,-634,-271,551
15:23:13.776, -976,1684,16912,26.32,2191,1914,2846
15:23:13.882,-1148,1180,15956,26.32,394,3060,2154
15:23:13.988, -232,120,14460,26.27,-1954,-568,-198
15:23:14.102,  440,412,15784,26.27,-708,-1356,-1598
15:23:14.216,-1408,1228,19824,26.32,129,-1611,-2360
15:23:14.292,-3288,1696,19448,26.22,2784,4784,-751
15:23:14.405,-2560,432,16648,26.27,-316,-143,-2587
15:23:14.510,-1060,52,13404,26.18,-612,-794,-3469
15:23:14.620, -224,300,13532,26.18,-210,-1502,-1228
15:23:14.721,-1116,1228,17784,26.22,356,-365,1374
15:23:14.835,-1504,1524,19884,26.22,541,600,810
15:23:14.944,-2348,1992,17124,26.13,1358,1240,1254
15:23:15.017,-1316,764,15892,26.08,238,297,1607
15:23:15.129,  -72,264,14888,26.18,-1483,148,794
15:23:15.243,  252,816,15136,26.13,-372,-656,-1014
15:23:15.357, -352,1760,18448,26.13,928,-1912,-1505
15:23:15.428,-1956,2560,22884,26.13,1281,-490,-62
15:23:15.533,-1108,1416,17176,26.18,-2621,40,-705
15:23:15.647,-1036,1300,13864,26.04,15,2482,-2289
15:23:15.760,  -84,484,12816,26.13,-113,-1829,-308
15:23:15.865, -608,1328,16676,25.99,653,-1595,2987
15:23:15.975, -832,1812,19700,26.18,-2159,504,2539
15:23:16.050,-1480,2396,17892,26.04,129,3831,995
15:23:16.155,-1700,1568,16476,26.08,-282,349,3068
15:23:16.269,   88,404,13756,26.08,-723,-1085,1603
15:23:16.384,  532,544,14768,26.04,764,-217,412
15:23:16.459, -304,1320,19264,25.99,-777,-1654,-894
15:23:16.569, -920,1632,21460,25.99,-841,-53,85
15:23:16.683,-1100,540,17528,25.89,789,902,-870
15:23:16.792,-1976,1020,14500,25.94,2483,1639,-2113
15:23:16.869,   76,280,12856,25.94,-327,-2888,-1476
15:23:16.983,   32,920,15768,25.99,-260,-751,1992
15:23:17.088, -612,1872,19232,26.04,-1188,1821,1161
15:23:17.202,-2356,3252,19520,26.04,1074,4598,-146
15:23:17.317,-2776,2516,16760,25.99,-1018,325,2119
15:23:17.393,  -12,584,13408,25.99,-1029,-501,1641
15:23:17.502,  696,368,14388,26.04,393,-1079,-446
